paper_sample_id	participant_id	biospecimen_id	parent_biospecimen_id	specimen_id	block_candidate	section_candidate	assay	platform	source_file	source_commit	evidence_grade
HT206B1-S1Fc1U2Z1B1	HT206B1	HTA12_129_7				2	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT206B1-S1Fc1U3Z1B1	HT206B1	HTA12_129_8				3	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT206B1-S1Fc1U4Z1B1	HT206B1	HTA12_129_9				4	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT206B1-S1Fc1U5Z1B1	HT206B1	HTA12_129_14				5	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT206B1-U1_ST_Bn1	HT206B1	HTA12_129_18				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT397B1-S1H3A1U1Bp1	HT397B1	HTA12_253_9				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT397B1-S1H3A1U21Bp1	HT397B1	HTA12_253_10				21	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT397B1-S1H3A1U41Bp1	HT397B1	HTA12_253_11				41	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT397B1-S1H3A1U61Bp1	HT397B1	HTA12_253_12				61	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT397B1-S1H2Fs4U1Bp1	HT397B1	HTA12_253_8				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT397B1-S1H3Fs1U1Bp1	HT397B1	HTA12_253_13				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT206B1-S1H4A2Y2_1N3Z1_1Bn1	HT206B1	HTA12_129_16					3' snRNA-seq		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT397B1-S1H4A4Y1N1Z1_1Bmn1_1	HT397B1	HTA12_253_16					3' snRNA-seq		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT206B1_S1H1A2Y2E1_1	HT206B1	HTA12_129_11					bulk RNA-seq		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT206B1_S1H4A2Y2E1_1	HT206B1	HTA12_129_12					bulk RNA-seq		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT206B1-W1E1	HT206B1	HTA12_129_19					bulk RNA-seq		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT397B1-S1H4A4E1	HT397B1	HTA12_253_15					bulk RNA-seq		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT397B1-H2A2_20220505	HT397B1	HTA12_253_1					CODEX	CODEX	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT397B1-H3A1_20220429	HT397B1	HTA12_253_2					CODEX	CODEX	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT397B1-S1H3A1-U12_20230316	HT397B1	HTA12_253_3				12	CODEX	CODEX	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT397B1-S1H3A1-U2_20230315	HT397B1	HTA12_253_5				2	CODEX	CODEX	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT397B1-S1H3A1-U22_20230413	HT397B1	HTA12_253_4				22	CODEX	CODEX	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT397B1-S1H3A1-U31_20230407	HT397B1	HTA12_253_6				31	CODEX	CODEX	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT206B1-JM1D1_1	HT206B1	HTA12_129_13					WXS		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT206B1-S1H1A2Y2D1_1	HT206B1	HTA12_129_15					WXS		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT206B1-S1H4A2Y2D1_1	HT206B1	HTA12_129_17					WXS		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT397B1-Jm1D1_1	HT397B1	HTA12_253_7					WXS		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT397B1-S1H4A4D1_1	HT397B1	HTA12_253_14					WXS		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT397B1-W1D1_1	HT397B1	HTA12_253_17					WXS		ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E0
HT913Z1-S1H1Fp1	HT913Z1						CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT891Z1-S2H1Fp1	HT891Z1						CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT891Z1-S2H4Fp1	HT891Z1						CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT891Z1-S2H3FP1Us1	HT891Z1						CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT891Z1-S2H3FP1Us2	HT891Z1						CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E0
HT206B1-H2L1U23_1	HT206B1					23	CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1_U14	HT704B1					14	CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1_U22	HT704B1					22	CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1_U47	HT704B1					47	CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT704B1-S1H3Fp1_U56	HT704B1					56	CosMx	CosMx	3d-analysis tracking: 3d-analysis_cosmx_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - CosMx.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U1Z1B1	HT206B1					1	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U2Z1B1	HT206B1					2	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U3Z1B1	HT206B1					3	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U4Z1B1	HT206B1					4	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT206B1-S1Fc1U5Z1B1	HT206B1					5	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
HT397B1-S1H3Fs1U1Bp1	HT397B1					1	Visium	Visium	3d-analysis tracking: 3d-analysis_visium_reference_HTAN2 3D Prostate Breast_ Spatial Omics Level 3 - Visium.csv	14f04c1b787991898380305702c31d52c19fa694	E1
