paper_sample_id	participant_id	biospecimen_id	parent_biospecimen_id	specimen_id	block_candidate	section_candidate	assay	platform	source_file	source_commit	evidence_grade
HT206B1-S1Fc1U2Z1B1	HT206B1	HTA12_129_7				2	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT206B1-S1Fc1U3Z1B1	HT206B1	HTA12_129_8				3	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT206B1-S1Fc1U4Z1B1	HT206B1	HTA12_129_9				4	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT224P1-S1Fc2U1Z1Bs1-1	HT224P1	HTA12_22_4				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT231P1-S1H3Fc2U1Z1Bs1-H3Bs2-Test	HT231P1	HTA12_23_3				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT235B1H2-S1Fc1U1Z1B1	HT235B1	HTA12_134_7				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT235B1H3-S1Fc1U1Z1B1	HT235B1	HTA12_134_8				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT242P1H1-S1Fc1U1Z1B1_1	HT242P1	HTA12_25_5				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT242P1H2-S1Fc1U1Z1B1_1	HT242P1	HTA12_25_6				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT242P1H3-S1Fc1U1Z1B1_1	HT242P1	HTA12_25_7				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT242P1H4-S1Fc1U1Z1B1_1	HT242P1	HTA12_25_8				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT243B1H3A2-S1Fc1U1Z1B1	HT243B1	HTA12_135_10				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT243B1H3A2-S1Fc1U2Z1B1	HT243B1	HTA12_135_11				2	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT243B1H3A2-S1Fc1U3Z1B1	HT243B1	HTA12_135_12				3	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT243B1H3A2-S1Fc1U4Z1B1	HT243B1	HTA12_135_13				4	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT243B1H4A2-S1Fc1U1Z1B1	HT243B1	HTA12_135_14				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT243B1H4A2-S1Fc1U2Z1B1	HT243B1	HTA12_135_15				2	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT259P1-S1H1Fc2U1Z1Bs1-1	HT259P1	HTA12_26_5				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT259P1-S1H2Fc2U1Z1Bs1-1	HT259P1	HTA12_26_6				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT262B1-S1H2Fc2U1Z1Bs1	HT262B1	HTA12_246_3				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT263B1-S1H1Fc2U1Z1Bs1	HT263B1	HTA12_139_3				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT264P1-S1H2Fc2U1Z1Bs1-H2Bs2-Test	HT264P1	HTA12_27_5				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT268B1-Th1H3Fc2U12Z1Bs1	HT268B1	HTA12_140_4				12	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT268B1-Th1H3Fc2U22Z1Bs1	HT268B1	HTA12_140_5				22	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT268B1-Th1H3Fc2U2Z1Bs1	HT268B1	HTA12_140_6				2	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT268B1-Th1H3Fc2U32Z1Bs1	HT268B1	HTA12_140_7				32	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT268B1-Th1K3Fc2U1Z1Bs1	HT268B1	HTA12_140_8				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT271B1-S1H3Fc2U1Z1Bs1	HT271B1	HTA12_142_9				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT271B1-S1H3Fc2U2Z1Bs1	HT271B1	HTA12_142_10				2	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT271B1-S1H3Fc2U3Z1Bs1	HT271B1	HTA12_142_11				3	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT271B1-S1H3Fc2U4Z1Bs1	HT271B1	HTA12_142_12				4	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT284P1-S1H2Fc2U1Z1Bs1-H2Bs2-Test	HT284P1	HTA12_29_3				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT288P1-S1H4Fc2U1Z1Bs1-H4Bs2-Test	HT288P1	HTA12_30_3				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT297B1-S1H1Fc2U1Z1Bs1	HT297B1	HTA12_144_5				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT305B1-S1H1Fc2U1Z1Bs1	HT305B1	HTA12_145_4				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT306P1-S1H1Fc2U1Z1Bs1-H1Bs2-Test	HT306P1	HTA12_31_3				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT308B1-S1H1Fc2U1Z1Bs1	HT308B1	HTA12_248_8				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT308B1-S1H4Fc2U1Z1Bs1	HT308B1	HTA12_248_10				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT308B1-S1H5Fc2U1Z1Bs1	HT308B1	HTA12_248_12				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT323B1-S1H1Fc2U1Z1Bs1	HT323B1	HTA12_249_7				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT323B1-S1H3Fc2U1Z1Bs1	HT323B1	HTA12_249_9				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT339B1-S1H3Fc2U1Z1Bs1	HT339B1	HTA12_250_7				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
HT365B1-S1H1Fc2U1Z1Bs1	HT365B1	HTA12_251_4				1	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
C3L-01287-11U3Bp1	C3L-01287	HTA12_51_1				3	Visium	Visium	ST_subclone_publication/Data_access/Sample_ID_Lookup_table_v1.xlsx	7067cd16f06ec4aa2500aa1e5c9a6eb1e6e42cfa	E1
