Filename	Atlas Name	Biospecimen	Assay	Level	Data File ID	Parent Data File ID	File Format
imaging_level_2/WD-76845-001.ome.tif	HTAN TNP SARDANA	HTA13_1_5	H&E	Level 2	HTA13_1_7000		OME-TIFF
imaging_level_2/WD-76845-002.ome.tif	HTAN TNP SARDANA	HTA13_1_6	CyCIF	Level 2	HTA13_1_7001		OME-TIFF
imaging_level_2/WD-76845-006.ome.tif	HTAN TNP SARDANA	HTA13_1_10	H&E	Level 2	HTA13_1_7002		OME-TIFF
imaging_level_2/WD-76845-007.ome.tif	HTAN TNP SARDANA	HTA13_1_11	CyCIF	Level 2	HTA13_1_7003		OME-TIFF
imaging_level_2/WD-76845-013.ome.tif	HTAN TNP SARDANA	HTA13_1_17	H&E	Level 2	HTA13_1_7004		OME-TIFF
imaging_level_2/WD-76845-014.ome.tif	HTAN TNP SARDANA	HTA13_1_18	CyCIF	Level 2	HTA13_1_7005		OME-TIFF
imaging_level_2/WD-76845-019.ome.tif	HTAN TNP SARDANA	HTA13_1_23	H&E	Level 2	HTA13_1_7006		OME-TIFF
imaging_level_2/WD-76845-020.ome.tif	HTAN TNP SARDANA	HTA13_1_24	CyCIF	Level 2	HTA13_1_7007		OME-TIFF
imaging_level_2/WD-76845-024.ome.tif	HTAN TNP SARDANA	HTA13_1_28	H&E	Level 2	HTA13_1_7008		OME-TIFF
imaging_level_2/WD-76845-025.ome.tif	HTAN TNP SARDANA	HTA13_1_29	CyCIF	Level 2	HTA13_1_7009		OME-TIFF
imaging_level_2/WD-76845-028.ome.tif	HTAN TNP SARDANA	HTA13_1_32	H&E	Level 2	HTA13_1_7010		OME-TIFF
imaging_level_2/WD-76845-029.ome.tif	HTAN TNP SARDANA	HTA13_1_33	CyCIF	Level 2	HTA13_1_7011		OME-TIFF
imaging_level_2/WD-76845-033.ome.tif	HTAN TNP SARDANA	HTA13_1_37	H&E	Level 2	HTA13_1_7012		OME-TIFF
imaging_level_2/WD-76845-034.ome.tif	HTAN TNP SARDANA	HTA13_1_38	CyCIF	Level 2	HTA13_1_7013		OME-TIFF
imaging_level_2/WD-76845-038.ome.tif	HTAN TNP SARDANA	HTA13_1_42	H&E	Level 2	HTA13_1_7014		OME-TIFF
imaging_level_2/WD-76845-039.ome.tif	HTAN TNP SARDANA	HTA13_1_43	CyCIF	Level 2	HTA13_1_7015		OME-TIFF
imaging_level_2/WD-76845-043.ome.tif	HTAN TNP SARDANA	HTA13_1_47	H&E	Level 2	HTA13_1_7016		OME-TIFF
imaging_level_2/WD-76845-044.ome.tif	HTAN TNP SARDANA	HTA13_1_48	CyCIF	Level 2	HTA13_1_7017		OME-TIFF
imaging_level_2/WD-76845-045.ome.tif	HTAN TNP SARDANA	HTA13_1_49	CyCIF	Level 2	HTA13_1_7018		OME-TIFF
imaging_level_2/WD-76845-046.ome.tif	HTAN TNP SARDANA	HTA13_1_50	CyCIF	Level 2	HTA13_1_7019		OME-TIFF
imaging_level_2/WD-76845-047.ome.tif	HTAN TNP SARDANA	HTA13_1_51	CyCIF	Level 2	HTA13_1_7020		OME-TIFF
imaging_level_2/WD-76845-048.ome.tif	HTAN TNP SARDANA	HTA13_1_52	H&E	Level 2	HTA13_1_7021		OME-TIFF
imaging_level_2/WD-76845-049.ome.tif	HTAN TNP SARDANA	HTA13_1_53	CyCIF	Level 2	HTA13_1_7022		OME-TIFF
imaging_level_2/WD-76845-050.ome.tif	HTAN TNP SARDANA	HTA13_1_54	CyCIF	Level 2	HTA13_1_7023		OME-TIFF
imaging_level_2/WD-76845-051.ome.tif	HTAN TNP SARDANA	HTA13_1_55	CyCIF	Level 2	HTA13_1_7024		OME-TIFF
imaging_level_2/WD-76845-052.ome.tif	HTAN TNP SARDANA	HTA13_1_56	CyCIF	Level 2	HTA13_1_7025		OME-TIFF
imaging_level_2/WD-76845-053.ome.tif	HTAN TNP SARDANA	HTA13_1_57	H&E	Level 2	HTA13_1_7026		OME-TIFF
imaging_level_2/WD-76845-054.ome.tif	HTAN TNP SARDANA	HTA13_1_58	CyCIF	Level 2	HTA13_1_7027		OME-TIFF
imaging_level_2/WD-76845-058.ome.tif	HTAN TNP SARDANA	HTA13_1_62	H&E	Level 2	HTA13_1_7028		OME-TIFF
imaging_level_2/WD-76845-059.ome.tif	HTAN TNP SARDANA	HTA13_1_63	CyCIF	Level 2	HTA13_1_7029		OME-TIFF
imaging_level_2/WD-76845-063.ome.tif	HTAN TNP SARDANA	HTA13_1_67	H&E	Level 2	HTA13_1_7030		OME-TIFF
imaging_level_2/WD-76845-064.ome.tif	HTAN TNP SARDANA	HTA13_1_68	CyCIF	Level 2	HTA13_1_7031		OME-TIFF
imaging_level_2/WD-76845-068.ome.tif	HTAN TNP SARDANA	HTA13_1_72	H&E	Level 2	HTA13_1_7032		OME-TIFF
imaging_level_2/WD-76845-069.ome.tif	HTAN TNP SARDANA	HTA13_1_73	CyCIF	Level 2	HTA13_1_7033		OME-TIFF
imaging_level_2/WD-76845-073.ome.tif	HTAN TNP SARDANA	HTA13_1_77	H&E	Level 2	HTA13_1_7034		OME-TIFF
imaging_level_2/WD-76845-074.ome.tif	HTAN TNP SARDANA	HTA13_1_78	CyCIF	Level 2	HTA13_1_7035		OME-TIFF
imaging_level_2/WD-76845-077.ome.tif	HTAN TNP SARDANA	HTA13_1_81	H&E	Level 2	HTA13_1_7036		OME-TIFF
imaging_level_2/WD-76845-078.ome.tif	HTAN TNP SARDANA	HTA13_1_82	CyCIF	Level 2	HTA13_1_7037		OME-TIFF
imaging_level_2/WD-76845-083.ome.tif	HTAN TNP SARDANA	HTA13_1_87	H&E	Level 2	HTA13_1_7038		OME-TIFF
imaging_level_2/WD-76845-084.ome.tif	HTAN TNP SARDANA	HTA13_1_88	CyCIF	Level 2	HTA13_1_7039		OME-TIFF
imaging_level_2/WD-76845-085.ome.tif	HTAN TNP SARDANA	HTA13_1_89	H&E	Level 2	HTA13_1_7040		OME-TIFF
imaging_level_2/WD-76845-086.ome.tif	HTAN TNP SARDANA	HTA13_1_90	CyCIF	Level 2	HTA13_1_7041		OME-TIFF
imaging_level_2/WD-76845-090.ome.tif	HTAN TNP SARDANA	HTA13_1_94	H&E	Level 2	HTA13_1_7042		OME-TIFF
imaging_level_2/WD-76845-091.ome.tif	HTAN TNP SARDANA	HTA13_1_95	CyCIF	Level 2	HTA13_1_7043		OME-TIFF
imaging_level_2/WD-76845-096.ome.tif	HTAN TNP SARDANA	HTA13_1_100	H&E	Level 2	HTA13_1_7044		OME-TIFF
imaging_level_2/WD-76845-097.ome.tif	HTAN TNP SARDANA	HTA13_1_101	CyCIF	Level 2	HTA13_1_7045		OME-TIFF
imaging_level_2/WD-76845-101.ome.tif	HTAN TNP SARDANA	HTA13_1_105	H&E	Level 2	HTA13_1_7046		OME-TIFF
imaging_level_2/WD-76845-102.ome.tif	HTAN TNP SARDANA	HTA13_1_106	CyCIF	Level 2	HTA13_1_7047		OME-TIFF
imaging_level_2/WD-76845-105.ome.tif	HTAN TNP SARDANA	HTA13_1_109	H&E	Level 2	HTA13_1_7048		OME-TIFF
imaging_level_2/WD-76845-106.ome.tif	HTAN TNP SARDANA	HTA13_1_110	CyCIF	Level 2	HTA13_1_7049		OME-TIFF
imaging_level_2/73-8/CRC01b_07.ome.tif	HTAN TNP SARDANA	HTA13_1_117	CyCIF	Level 2	HTA13_1_7725		OME-TIFF
imaging_level_2/73-9/CRC01b_08.ome.tif	HTAN TNP SARDANA	HTA13_1_118	CyCIF	Level 2	HTA13_1_7726		OME-TIFF
imaging_level_2/SDA684-5_scene001.ome.tif	HTAN TNP SARDANA	HTA13_2_7	CyCIF	Level 2	HTA13_2_9000		OME-TIFF
imaging_level_2/SDA684-5_scene002.ome.tif	HTAN TNP SARDANA	HTA13_2_7	CyCIF	Level 2	HTA13_2_9001		OME-TIFF
imaging_level_2/SDA684-5_scene003.ome.tif	HTAN TNP SARDANA	HTA13_2_7	CyCIF	Level 2	HTA13_2_9002		OME-TIFF
imaging_level_2/SDA684-5_scene004.ome.tif	HTAN TNP SARDANA	HTA13_2_7	CyCIF	Level 2	HTA13_2_9003		OME-TIFF
