LibraryName,Serial,Cohort,sample_type_tumor,AssayType,case_id,piece_id,section_id,N_sections,DistanceToPriorSlide
HT112C1-U1_ST_Bn1,Yes,Distinct,Metastasis,OCT,HT112C1,HT112C1-Th1,HT112C1-Th1U1,2,0
HT112C1-U2_ST_Bn1,Yes,Distinct,Metastasis,OCT,HT112C1,HT112C1-Th1,HT112C1-Th1U2,2,60
HT206B1-S1Fc1U2Z1B1,Yes,Distinct,Primary,OCT,HT206B1,HT206B1-S1,HT206B1-S1U2,5,Unknown
HT206B1-S1Fc1U3Z1B1,Yes,Distinct,Primary,OCT,HT206B1,HT206B1-S1,HT206B1-S1U3,5,40
HT206B1-S1Fc1U4Z1B1,Yes,Distinct,Primary,OCT,HT206B1,HT206B1-S1,HT206B1-S1U4,5,40
HT206B1-S1Fc1U5Z1B1,Yes,Distinct,Primary,OCT,HT206B1,HT206B1-S1,HT206B1-S1U5,5,40
HT206B1-U1_ST_Bn1,Yes,Distinct,Primary,OCT,HT206B1,HT206B1-S1,HT206B1-S1U1,5,0
HT225C1-Th1Fc1U1Z1B1,Yes,Diffuse,Metastasis,OCT,HT225C1,HT225C1-Th1,HT225C1-Th1U1,5,0
HT225C1-Th1Fc1U2Z1B1,Yes,Diffuse,Metastasis,OCT,HT225C1,HT225C1-Th1,HT225C1-Th1U2,5,Unknown
HT225C1-Th1Fc1U3Z1B1,Yes,Diffuse,Metastasis,OCT,HT225C1,HT225C1-Th1,HT225C1-Th1U3,5,40
HT225C1-Th1Fc1U4Z1B1,Yes,Diffuse,Metastasis,OCT,HT225C1,HT225C1-Th1,HT225C1-Th1U4,5,40
HT225C1-Th1Fc1U5Z1B1,Yes,Diffuse,Metastasis,OCT,HT225C1,HT225C1-Th1,HT225C1-Th1U5,5,40
HT226C1-Th1Fc1U1Z1Bn1,Yes,Diffuse,Primary,OCT,HT226C1,HT226C1-Th1,HT226C1-Th1U1,2,0
HT226C1-Th1Fc1U2Z1Bn1,Yes,Diffuse,Primary,OCT,HT226C1,HT226C1-Th1,HT226C1-Th1U2,2,40
HT235B1-S1Fc1U1Z1Bn1,Yes,Diffuse,Primary,OCT,HT235B1,HT235B1-S1,HT235B1-S1U1,2,0
HT235B1-S1Fc1U2Z1Bn1,Yes,Diffuse,Primary,OCT,HT235B1,HT235B1-S1,HT235B1-S1U2,2,40
HT243B1H3A2-S1Fc1U1Z1B1,Yes,Diffuse,Primary,OCT,HT243B1,HT243B1-S1H3,HT243B1-S1H3U1,4,0
HT243B1H3A2-S1Fc1U2Z1B1,Yes,Diffuse,Primary,OCT,HT243B1,HT243B1-S1H3,HT243B1-S1H3U2,4,40
HT243B1H3A2-S1Fc1U3Z1B1,Yes,Diffuse,Primary,OCT,HT243B1,HT243B1-S1H3,HT243B1-S1H3U3,4,40
HT243B1H3A2-S1Fc1U4Z1B1,Yes,Diffuse,Primary,OCT,HT243B1,HT243B1-S1H3,HT243B1-S1H3U4,4,40
HT243B1H4A2-S1Fc1U1Z1B1,Yes,Diffuse,Primary,OCT,HT243B1,HT243B1-S1H4,HT243B1-S1H4U1,2,0
HT243B1H4A2-S1Fc1U2Z1B1,Yes,Diffuse,Primary,OCT,HT243B1,HT243B1-S1H4,HT243B1-S1H4U2,2,40
HT264P1-S1H2Fc2U1Z1Bs1,No,Diffuse,Primary,OCT,HT264P1,HT264P1-S1H2,HT264P1-S1H2U1,2,Unknown
HT264P1-S1H2Fs1U1Bp1,No,Diffuse,Primary,FFPE,HT264P1,HT264P1-S1H2,HT264P1-S1H2U1,2,Unknown
HT268B1-Th1K3Fc2U1Z1Bs1,Yes,Distinct,Metastasis,OCT,HT268B1,HT268B1-Th1K3,HT268B1-Th1K3U1,5,0
HT268B1-Th1H3Fc2U2Z1Bs1,Yes,Distinct,Metastasis,OCT,HT268B1,HT268B1-Th1K3,HT268B1-Th1K3U2,5,Unknown
HT268B1-Th1H3Fc2U12Z1Bs1,Yes,Distinct,Metastasis,OCT,HT268B1,HT268B1-Th1K3,HT268B1-Th1K3U12,5,100
HT268B1-Th1H3Fc2U22Z1Bs1,Yes,Distinct,Metastasis,OCT,HT268B1,HT268B1-Th1K3,HT268B1-Th1K3U22,5,100
HT268B1-Th1H3Fc2U32Z1Bs1,Yes,Distinct,Metastasis,OCT,HT268B1,HT268B1-Th1K3,HT268B1-Th1K3U32,5,100
HT271B1-S1H3Fc2U1Z1Bs1,Yes,Diffuse,Primary,OCT,HT271B1,HT271B1-S1H3,HT271B1-S1H3U1,4,0
HT271B1-S1H3Fc2U2Z1Bs1,Yes,Diffuse,Primary,OCT,HT271B1,HT271B1-S1H3,HT271B1-S1H3U2,4,100
HT271B1-S1H3Fc2U3Z1Bs1,Yes,Diffuse,Primary,OCT,HT271B1,HT271B1-S1H3,HT271B1-S1H3U3,4,100
HT271B1-S1H3Fc2U4Z1Bs1,Yes,Diffuse,Primary,OCT,HT271B1,HT271B1-S1H3,HT271B1-S1H3U4,4,100
HT339B1-S1H3Fc2U1Z1Bs1,Yes,Distinct,Primary,OCT,HT339B1,HT339B1-S1H3,HT339B1-S1H3U1,2,Unknown
HT339B1-S1H3Fc2U2Bs2,Yes,Distinct,Primary,OCT,HT339B1,HT339B1-S1H3,HT339B1-S1H3U2,2,Unknown
HT397B1-S1H3A1U1Bp1,Yes,Distinct,Primary,FFPE,HT397B1,HT397B1-S1H3,HT397B1-S1H3U1,4,0
HT397B1-S1H3A1U21Bp1,Yes,Distinct,Primary,FFPE,HT397B1,HT397B1-S1H3,HT397B1-S1H3U21,4,100
HT397B1-S1H3A1U41Bp1,Yes,Diffuse,Primary,FFPE,HT397B1,HT397B1-S1H3,HT397B1-S1H3U41,4,100
HT397B1-S1H3A1U61Bp1,Yes,Diffuse,Primary,FFPE,HT397B1,HT397B1-S1H3,HT397B1-S1H3U61,4,100
HT413C1-Th1K2A4U1Bp1,Yes,Distinct,Metastasis,FFPE,HT413C1,HT413C1-Th1K2,HT413C1-Th1K2U1,3,0
HT413C1-Th1K2A4U2Bp1,Yes,Distinct,Metastasis,FFPE,HT413C1,HT413C1-Th1K2,HT413C1-Th1K2U2,3,Unknown
HT413C1-Th1K2A4U14Bp1,Yes,Distinct,Metastasis,FFPE,HT413C1,HT413C1-Th1K2,HT413C1-Th1K2U14,3,60
HT448C1-Th1K1Fp1U1Bp1,Yes,Distinct,Metastasis,FFPE,HT448C1,HT448C1-Th1K1,HT448C1-Th1K1U1,2,0
HT448C1-Th1K1Fp1U13Bp1,Yes,Distinct,Metastasis,FFPE,HT448C1,HT448C1-Th1K1,HT448C1-Th1K1U13,2,60
HT480B1-S1H1Fs1U1Bp1,Yes,Diffuse,Primary,FFPE,HT480B1,HT480B1-S1H1,HT480B1-S1H1U1,2,Unknown
HT480B1-S1H1Fs1U2Bp1,Yes,Diffuse,Primary,FFPE,HT480B1,HT480B1-S1H1,HT480B1-S1H1U2,2,Unknown
HT480B1-S1H3Fs1U1Bp1,Yes,Diffuse,Primary,FFPE,HT480B1,HT480B1-S1H3,HT480B1-S1H3U1,2,Unknown
HT480B1-S1H3Fs1U2Bp1,Yes,Diffuse,Primary,FFPE,HT480B1,HT480B1-S1H3,HT480B1-S1H3U2,2,Unknown
