case	sid	position_um	position_expr	dtype
HT913Z1	HT913Z1-U1	0	5 * 0	xenium
HT913Z1	HT913Z1-U2	5	5 * 1	multiplex
HT913Z1	HT913Z1-U3	10	5 * 2	he
HT913Z1	HT913Z1-U5	20	5 * 4	he
HT913Z1	HT913Z1-U7	30	5 * 6	he
HT913Z1	HT913Z1-U9	40	5 * 8	he
HT913Z1	HT913Z1-U10	45	5 * 9	he
HT913Z1	HT913Z1-U11	50	5 * 10	xenium
HT913Z1	HT913Z1-U12	55	5 * 11	multiplex
HT913Z1	HT913Z1-U13	60	5 * 12	he
HT913Z1	HT913Z1-U15	70	5 * 14	he
HT913Z1	HT913Z1-U17	80	5 * 16	he
HT913Z1	HT913Z1-U19	90	5 * 18	he
HT913Z1	HT913Z1-U21	100	5 * 20	xenium
HT913Z1	HT913Z1-U22	105	5 * 21	multiplex
HT913Z1	HT913Z1-U24	115	5 * 23	he
HT913Z1	HT913Z1-U26	125	5 * 25	he
HT913Z1	HT913Z1-U28	135	5 * 27	he
HT913Z1	HT913Z1-U30	145	5 * 29	he
HT913Z1	HT913Z1-U33	160	5 * 32	xenium
HT913Z1	HT913Z1-U34	165	5 * 33	xenium
HT913Z1	HT913Z1-U35	170	5 * 34	xenium
HT913Z1	HT913Z1-U36	175	5 * 35	he
HT913Z1	HT913Z1-U38	185	5 * 37	he
HT913Z1	HT913Z1-U40	195	5 * 39	he
HT913Z1	HT913Z1-U41	200	5 * 40	multiplex
HT913Z1	HT913Z1-U42	205	5 * 41	he
HT913Z1	HT913Z1-U44	215	5 * 43	he
HT913Z1	HT913Z1-U46	225	5 * 45	he
HT913Z1	HT913Z1-U48	235	5 * 47	he
HT913Z1	HT913Z1-U50	245	5 * 49	he
HT913Z1	HT913Z1-U51	250	5 * 50	multiplex
HT913Z1	HT913Z1-U52	255	5 * 51	multiplex
HT913Z1	HT913Z1-U53	260	5 * 52	multiplex
HT913Z1	HT913Z1-U54	265	5 * 53	multiplex
HT913Z1	HT913Z1-U55	270	5 * 54	he
HT913Z1	HT913Z1-U57	280	5 * 56	he
HT913Z1	HT913Z1-U61	300	5 * 60	xenium
HT913Z1	HT913Z1-U62	305	5 * 61	multiplex
HT913Z1	HT913Z1-U63	310	5 * 62	he
HT913Z1	HT913Z1-U65	320	5 * 64	he
HT913Z1	HT913Z1-U67	330	5 * 66	he
HT913Z1	HT913Z1-U69	340	5 * 68	he
HT913Z1	HT913Z1-U71	350	5 * 70	multiplex
HT913Z1	HT913Z1-U72	355	5 * 71	he
HT913Z1	HT913Z1-U74	365	5 * 73	he
HT913Z1	HT913Z1-U76	375	5 * 75	he
HT913Z1	HT913Z1-U78	385	5 * 77	he
HT913Z1	HT913Z1-U80	395	5 * 79	he
HT913Z1	HT913Z1-U81	400	5 * 80	xenium
HT913Z1	HT913Z1-U82	405	5 * 81	multiplex
HT913Z1	HT913Z1-U83	410	5 * 82	he
HT913Z1	HT913Z1-U85	420	5 * 84	he
HT913Z1	HT913Z1-U87	430	5 * 86	he
HT913Z1	HT913Z1-U89	440	5 * 88	he
HT913Z1	HT913Z1-U91	450	5 * 90	multiplex
HT913Z1	HT913Z1-U92	455	5 * 91	he
HT913Z1	HT913Z1-U94	465	5 * 93	he
HT913Z1	HT913Z1-U96	475	5 * 95	he
HT913Z1	HT913Z1-U99	490	5 * 98	he
HT913Z1	HT913Z1-U101	500	5 * 100	xenium
HT913Z1	HT913Z1-U102	505	5 * 101	multiplex
HT913Z1	HT913Z1-U103	510	5 * 102	he
