atlas	synapse_id	filename	assay	biospecimen	destination	status	bytes	checksum	attempts	error	download_timestamp
WUSTL	syn53215848	20201103_ST_HT206B1-S1Fc1U3.tif	10X Visium	HTA12_129_8	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215848/20201103_ST_HT206B1-S1Fc1U3.tif	DOWNLOADED	1174382972		1	transfer_s=208.2	2026-09-11T20:28:08
WUSTL	syn53215828	20201103_ST_HT206B1-S1Fc1U2.tif	10X Visium	HTA12_129_7	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215828/20201103_ST_HT206B1-S1Fc1U2.tif	DOWNLOADED	1173611045		1	transfer_s=213.4	2026-09-11T20:28:13
WUSTL	syn53215842	20201103_ST_HT206B1-S1Fc1U4.tif	10X Visium	HTA12_129_9	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215842/20201103_ST_HT206B1-S1Fc1U4.tif	DOWNLOADED	1173552114		1	transfer_s=113.5	2026-09-11T20:30:01
WUSTL	syn61465339	B1_HT397B1-S1H3A1U21.tif	10X Visium	HTA12_253_10	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61465339/B1_HT397B1-S1H3A1U21.tif	DOWNLOADED	933891765		1	transfer_s=258.2	2026-09-11T20:35:45
WUSTL	syn61465364	A1_HT397B1-S1H3A1U1.tif	10X Visium	HTA12_253_9	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61465364/A1_HT397B1-S1H3A1U1.tif	DOWNLOADED	999465214		1	transfer_s=270.6	2026-09-11T20:35:57
WUSTL	syn61465369	C1_HT397B1-S1H3A1U41.tif	10X Visium	HTA12_253_11	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61465369/C1_HT397B1-S1H3A1U41.tif	DOWNLOADED	810504800		1	transfer_s=216.5	2026-09-11T20:39:34
WUSTL	syn61465393	C1_HT397B1-S1H3A1.tif	10X Visium	HTA12_253_13	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61465393/C1_HT397B1-S1H3A1.tif	DOWNLOADED	1229299127		1	transfer_s=317.8	2026-09-11T20:41:03
WUSTL	syn61465442	20201103_ST_HT206B1-S1Fc1U5.tif	10X Visium	HTA12_129_14	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn61465442/20201103_ST_HT206B1-S1Fc1U5.tif	DOWNLOADED	1175093736		1	transfer_s=590.8	2026-09-11T20:41:18
WUSTL	syn53215135	HT206B1-S1Fc1U2Z1B1-barcodes.tsv.gz	10X Visium	HTA12_129_7	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215135/HT206B1-S1Fc1U2Z1B1-barcodes.tsv.gz	DOWNLOADED	25674		1	transfer_s=6.7	2026-09-11T20:41:24
WUSTL	syn53215213	HT206B1-S1Fc1U2Z1B1-features.tsv.gz	10X Visium	HTA12_129_7	/home/huyudi/013_spatial/R03_external/HTAN/WUSTL/synapse/syn53215213/HT206B1-S1Fc1U2Z1B1-features.tsv.gz	DOWNLOADED	294383		1	transfer_s=7.1	2026-09-11T20:41:31
