source_id	accession	official_url	local_path	bytes	sha256	license	identity_coverage	retention_scope	status	notes
geo:GSE111672_gsm_quick	GSE111672	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE111672	infra/bioinf-data-index/raw/geo/GSE111672_gsm_quick.soft	179603	539ea42ee033d4714a7e2698c6df968218ce5f5a5c7839841e593b97dbe4e4df	NOT_ASSERTED_IN_RETRIEVED_METADATA	screened_not_accepted	metadata	retained	official metadata/document record
geo:GSE144240_gsm_quick	GSE144240	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144240	infra/bioinf-data-index/raw/geo/GSE144240_gsm_quick.soft	494461	5614832075a36ab4f5e5092b02db21efc8293bbe07513daad581e641985eda78	NOT_ASSERTED_IN_RETRIEVED_METADATA	screened_not_accepted	metadata	retained	official metadata/document record
geo:GSE171351_gsm_quick	GSE171351	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171351	infra/bioinf-data-index/raw/geo/GSE171351_gsm_quick.soft	9814	9f38c52c1733388342fea428b00475dae75dafc663d82cfdc50eb003dc503aeb	NOT_ASSERTED_IN_RETRIEVED_METADATA	screened_not_accepted	metadata	retained	official metadata/document record
geo:GSE175540_gsm_quick	GSE175540	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175540	infra/bioinf-data-index/raw/geo/GSE175540_gsm_quick.soft	66706	8e7880764a22fb3ceba552fddbfe468d4eae9ca73564179f4009df31264627a6	NOT_ASSERTED_IN_RETRIEVED_METADATA	screened_not_accepted	metadata	retained	official metadata/document record
geo:GSE202740_gsm_quick	GSE202740	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202740	infra/bioinf-data-index/raw/geo/GSE202740_gsm_quick.soft	16708	1b352a028ad93d91d060660754365adf9690f44336b5e47a64e446618b484bbc	NOT_ASSERTED_IN_RETRIEVED_METADATA	screened_not_accepted	metadata	retained	official metadata/document record
geo:GSE208253_gsm_quick	GSE208253	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE208253	infra/bioinf-data-index/raw/geo/GSE208253_gsm_quick.soft	44410	187d1b842dde20d7d8c771a17e0bc5558f065a6ed2c14c9569734524a646379d	NOT_ASSERTED_IN_RETRIEVED_METADATA	screened_not_accepted	metadata	retained	official metadata/document record
geo:GSE211956_gsm_quick	GSE211956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211956	infra/bioinf-data-index/raw/geo/GSE211956_gsm_quick.soft	31826	79a92a96f01196b882669104a8af8b0044909fe0210dfae813fcfe981af4e3e3	NOT_ASSERTED_IN_RETRIEVED_METADATA	patient_tissue_biosample	metadata	retained	official metadata/document record
geo:GSE211956_series_quick	GSE211956	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211956	infra/bioinf-data-index/raw/geo/GSE211956_series_quick.soft	2684	1b38ffd14bba1bd1db2c3a23240c91595538457e51e34a8697181b5cec5ce094	NOT_ASSERTED_IN_RETRIEVED_METADATA	cohort_tissue_patient_bioproject	metadata	retained	official metadata/document record
geo:GSE225857_gsm_quick	GSE225857	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225857	infra/bioinf-data-index/raw/geo/GSE225857_gsm_quick.soft	37589	2429e4d758cd30d5c5cd515e1b6ad99f58c5f67d9d4165de535b17a51d378484	NOT_ASSERTED_IN_RETRIEVED_METADATA	screened_not_accepted	metadata	retained	official metadata/document record
geo:GSE226997_gsm_quick	GSE226997	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226997	infra/bioinf-data-index/raw/geo/GSE226997_gsm_quick.soft	14292	e6024af1e6ff304286b0040973e60a7bc95aa4f711405bb39c793110ea0ef3e2	NOT_ASSERTED_IN_RETRIEVED_METADATA	patient_tissue_biosample	metadata	retained	official metadata/document record
