physical_unit_id	matrix_locator	coordinate_locator	matrix_kind	read_authorization	count_key
ST_CRC_CMS::SN048_A121573_Rep1	data/derived/r04/st_crc_cms/SN048_A121573_Rep1/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN048_A121573_Rep1_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
ST_CRC_CMS::SN048_A121573_Rep2	data/derived/r04/st_crc_cms/SN048_A121573_Rep2/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN048_A121573_Rep2_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
ST_CRC_CMS::SN048_A416371_Rep1	data/derived/r04/st_crc_cms/SN048_A416371_Rep1/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN048_A416371_Rep1_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
ST_CRC_CMS::SN048_A416371_Rep2	data/derived/r04/st_crc_cms/SN048_A416371_Rep2/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN048_A416371_Rep2_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
ST_CRC_CMS::SN123_A551763_Rep1	data/derived/r04/st_crc_cms/SN123_A551763_Rep1/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN123_A551763_Rep1_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
ST_CRC_CMS::SN123_A595688_Rep1	data/derived/r04/st_crc_cms/SN123_A595688_Rep1/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN123_A595688_Rep1_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
ST_CRC_CMS::SN123_A798015_Rep1	data/derived/r04/st_crc_cms/SN123_A798015_Rep1/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN123_A798015_Rep1_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
ST_CRC_CMS::SN123_A938797_Rep1_X	data/derived/r04/st_crc_cms/SN123_A938797_Rep1_X/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN123_A938797_Rep1_X_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
ST_CRC_CMS::SN124_A551763_Rep2	data/derived/r04/st_crc_cms/SN124_A551763_Rep2/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN124_A551763_Rep2_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
ST_CRC_CMS::SN124_A595688_Rep2	data/derived/r04/st_crc_cms/SN124_A595688_Rep2/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN124_A595688_Rep2_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
ST_CRC_CMS::SN124_A798015_Rep2	data/derived/r04/st_crc_cms/SN124_A798015_Rep2/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN124_A798015_Rep2_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
ST_CRC_CMS::SN124_A938797_Rep2	data/derived/r04/st_crc_cms/SN124_A938797_Rep2/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN124_A938797_Rep2_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
ST_CRC_CMS::SN84_A120838_Rep1	data/derived/r04/st_crc_cms/SN84_A120838_Rep1/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN84_A120838_Rep1_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
ST_CRC_CMS::SN84_A120838_Rep2	data/derived/r04/st_crc_cms/SN84_A120838_Rep2/filtered_feature_bc_matrix.h5	data/other_sources/zenodo_st_crc_cms/tissue_positions/SN84_A120838_Rep2_tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
TLS_VISIUM_USZ::KC1	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/KC1/filtered_feature_bc_matrix	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/KC1/spatial/tissue_positions.csv	10x_mtx	MOLECULES_AND_COORDINATES	X
TLS_VISIUM_USZ::KC2	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/KC2/filtered_feature_bc_matrix	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/KC2/spatial/tissue_positions.csv	10x_mtx	MOLECULES_AND_COORDINATES	X
TLS_VISIUM_USZ::KC3	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/KC3/filtered_feature_bc_matrix	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/KC3/spatial/tissue_positions.csv	10x_mtx	MOLECULES_AND_COORDINATES	X
TLS_VISIUM_USZ::LC1	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/LC1/filtered_feature_bc_matrix	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/LC1/spatial/tissue_positions.csv	10x_mtx	MOLECULES_AND_COORDINATES	X
TLS_VISIUM_USZ::LC2	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/LC2/filtered_feature_bc_matrix	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/LC2/spatial/tissue_positions.csv	10x_mtx	MOLECULES_AND_COORDINATES	X
TLS_VISIUM_USZ::LC3	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/LC3/filtered_feature_bc_matrix	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/LC3/spatial/tissue_positions.csv	10x_mtx	MOLECULES_AND_COORDINATES	X
TLS_VISIUM_USZ::LC4	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/LC4/filtered_feature_bc_matrix	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/LC4/spatial/tissue_positions.csv	10x_mtx	MOLECULES_AND_COORDINATES	X
TLS_VISIUM_USZ::LC5	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/LC5/filtered_feature_bc_matrix	data/other_sources/zenodo_usz_tls_visium/TLS_VISIUM_USZ/10x_Visium/LC5/spatial/tissue_positions.csv	10x_mtx	MOLECULES_AND_COORDINATES	X
TENX::V1_Breast_Cancer_Block_A_Section_1	data/other_sources/10x_genomics/V1_Breast_Cancer_Block_A_Section_1/V1_Breast_Cancer_Block_A_Section_1_filtered_feature_bc_matrix.h5	data/derived/r04/breast/V1_Breast_Cancer_Block_A_Section_1/spatial/tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
TENX::V1_Breast_Cancer_Block_A_Section_2	data/other_sources/10x_genomics/V1_Breast_Cancer_Block_A_Section_2/V1_Breast_Cancer_Block_A_Section_2_filtered_feature_bc_matrix.h5	data/derived/r04/breast/V1_Breast_Cancer_Block_A_Section_2/spatial/tissue_positions_list.csv	10x_h5	MOLECULES_AND_COORDINATES	X
