physical_unit_id	logical_unit_id	patient_id	block_id	leakage_group_id	primary_role	outer_fold	matrix_locator	coordinate_locator	matrix_kind	read_authorization	count_key
HTAN::8270_AS_2_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	HTAN_VANDERBILT_CRC::BLOCK::001325fc9c03672f	LINEAGE::HTAN_VANDERBILT_CRC	training	training::6b8142ad2935	/home/huyudi/013_spatial/data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_2_filtered_trimmed.h5ad	IN_H5AD:obsm/spatial	h5ad_counts	HTAN_COUNTS_AND_COORDINATES	X
HTAN::7003_AS_5_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN_VANDERBILT_CRC::BLOCK::5d8692c0b033416e	LINEAGE::HTAN_VANDERBILT_CRC	training	training::e45380892b7e	/home/huyudi/013_spatial/data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7003_AS_5_filtered_trimmed.h5ad	IN_H5AD:obsm/spatial	h5ad_counts	HTAN_COUNTS_AND_COORDINATES	X
HTAN::7003_AS_6_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN_VANDERBILT_CRC::BLOCK::5d8692c0b033416e	LINEAGE::HTAN_VANDERBILT_CRC	training	training::e45380892b7e	/home/huyudi/013_spatial/data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7003_AS_6_filtered_trimmed.h5ad	IN_H5AD:obsm/spatial	h5ad_counts	HTAN_COUNTS_AND_COORDINATES	X
HTAN::7003_AS_1_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	HTAN_VANDERBILT_CRC::BLOCK::af4b3a9c9bb14278	LINEAGE::HTAN_VANDERBILT_CRC	training	training::ac062dd780d7	/home/huyudi/013_spatial/data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7003_AS_1_filtered_trimmed.h5ad	IN_H5AD:obsm/spatial	h5ad_counts	HTAN_COUNTS_AND_COORDINATES	X
HTAN::7003_AS_2_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	HTAN_VANDERBILT_CRC::BLOCK::af4b3a9c9bb14278	LINEAGE::HTAN_VANDERBILT_CRC	training	training::ac062dd780d7	/home/huyudi/013_spatial/data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7003_AS_2_filtered_trimmed.h5ad	IN_H5AD:obsm/spatial	h5ad_counts	HTAN_COUNTS_AND_COORDINATES	X
HTAN::8270_AS_10_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN_VANDERBILT_CRC::BLOCK::f98b9c45e22b0189	LINEAGE::HTAN_VANDERBILT_CRC	training	training::51390c8a3069	/home/huyudi/013_spatial/data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_10_filtered_trimmed.h5ad	IN_H5AD:obsm/spatial	h5ad_counts	HTAN_COUNTS_AND_COORDINATES	X
HTAN::8578_AS_2_filtered_trimmed_WD84226.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN_VANDERBILT_CRC::BLOCK::f98b9c45e22b0189	LINEAGE::HTAN_VANDERBILT_CRC	training	training::51390c8a3069	/home/huyudi/013_spatial/data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_2_filtered_trimmed_WD84226.h5ad	IN_H5AD:obsm/spatial	h5ad_counts	HTAN_COUNTS_AND_COORDINATES	X
HTAN::8270_AS_9_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN_VANDERBILT_CRC::BLOCK::8da98730391b62e3	LINEAGE::HTAN_VANDERBILT_CRC	training	training::a02a0a7aea10	/home/huyudi/013_spatial/data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8270_AS_9_filtered_trimmed.h5ad	IN_H5AD:obsm/spatial	h5ad_counts	HTAN_COUNTS_AND_COORDINATES	X
HTAN::8578_AS_2_filtered_trimmed_WD84594.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	HTAN_VANDERBILT_CRC::BLOCK::8da98730391b62e3	LINEAGE::HTAN_VANDERBILT_CRC	training	training::a02a0a7aea10	/home/huyudi/013_spatial/data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_2_filtered_trimmed_WD84594.h5ad	IN_H5AD:obsm/spatial	h5ad_counts	HTAN_COUNTS_AND_COORDINATES	X
HTAN::8578_AS_1_filtered_trimmed_WD33473.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	HTAN_VANDERBILT_CRC::BLOCK::31cb9c4d65cb7362	LINEAGE::HTAN_VANDERBILT_CRC	training	training::070083bf2c55	/home/huyudi/013_spatial/data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/8578_AS_1_filtered_trimmed_WD33473.h5ad	IN_H5AD:obsm/spatial	h5ad_counts	HTAN_COUNTS_AND_COORDINATES	X
