# r16.field_registry.v1.1 (2026-09-15, D-118 tier1b + D-119 tier2j joint; grades capped at EXPLORATORY_REPRODUCED; CLAIM_CANDIDATE requires separate approval)
pattern_id	tier	kind	axis_name	lineage	n_sections	n_patients	resolution_support	top_markers	geometry	effect_size	null_type	null_draws	null_p	fdr_q	cross_patient_shape_corr	residual_dimension	uncertainty_ci95	evidence_grade	notes
R16A_T	1	composition_axis	T	HTAN_VANDERBILT_CRC	47	30	NA	module:99genes	contour@(0.6, 0.7, 0.8)	0.690	value_permutation	200	0.0050	NA	NA	NA	NA	EXPLORATORY_REPRODUCED	coherent_patients=30/30;contour_jaccard=0.71
R16A_B	1	composition_axis	B	HTAN_VANDERBILT_CRC	47	30	NA	module:45genes	contour@(0.6, 0.7, 0.8)	0.582	value_permutation	200	0.0050	NA	NA	NA	NA	EXPLORATORY_REPRODUCED	coherent_patients=30/30;contour_jaccard=0.71
R16A_Mye	1	composition_axis	Mye	HTAN_VANDERBILT_CRC	47	30	NA	module:57genes	contour@(0.6, 0.7, 0.8)	0.640	value_permutation	200	0.0050	NA	NA	NA	NA	EXPLORATORY_REPRODUCED	coherent_patients=30/30;contour_jaccard=0.71
R16A_ILC	1	composition_axis	ILC	HTAN_VANDERBILT_CRC	47	30	NA	module:12genes	contour@(0.6, 0.7, 0.8)	0.256	value_permutation	200	0.0050	NA	NA	NA	NA	EXPLORATORY_REPRODUCED	coherent_patients=27/30;contour_jaccard=0.69;RETIRED_D117
R16A_Epi	1	composition_axis	Epi	HTAN_VANDERBILT_CRC	47	30	NA	module:125genes	contour@(0.6, 0.7, 0.8)	0.766	value_permutation	200	0.0050	NA	NA	NA	NA	EXPLORATORY_REPRODUCED	coherent_patients=30/30;contour_jaccard=0.71
R16A_Stromal	1	composition_axis	Stromal	HTAN_VANDERBILT_CRC	47	30	NA	module:55genes	contour@(0.6, 0.7, 0.8)	0.632	value_permutation	200	0.0050	NA	NA	NA	NA	EXPLORATORY_REPRODUCED	coherent_patients=30/30;contour_jaccard=0.71
R16A_Plasma	1	composition_axis	Plasma	HTAN_VANDERBILT_CRC	47	30	NA	module:6genes	contour@(0.6, 0.7, 0.8)	0.585	value_permutation	200	0.0050	NA	NA	NA	NA	EXPLORATORY_REPRODUCED	coherent_patients=29/30;contour_jaccard=0.71
R16P001	2	pattern_group	NA	HTAN_VANDERBILT_CRC	45	28	3/3	IFNL2;CECR2;PTCRA;IGLJ6;RPRM;HOXA13;GALR3;OR8H2;IGF2BP1;OR4N5	NA	0.612	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.41;LOW_PURITY_MIXED_GROUP;best_axis=ILC(-0.16)_UNEXPLAINED
R16P002	2	pattern_group	NA	HTAN_VANDERBILT_CRC	42	27	3/3	TPT1;UBC;ACTG1;SERF1A;TMSB10;CFL1;DEPRECATED_ENSG00000140264;EEF2;LGALS4;FAM153B	NA	0.633	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.43;LOW_PURITY_MIXED_GROUP;best_axis=Epi(0.42)_UNEXPLAINED
R16P003	2	pattern_group	NA	HTAN_VANDERBILT_CRC	4	3	3/3	COL1A1;COL1A2;COL3A1;IFI27;IFI6;TMSB10;TMSB4X;FN1;SPARC;FTH1	NA	0.624	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	EXPLORATORY_REPRODUCED	stable_frac=0.33;purity=0.72;best_axis=Stromal(0.59)_explained
R16P004	2	pattern_group	NA	HTAN_VANDERBILT_CRC	4	3	3/3	COL1A2;COL3A1;FN1;IFI6;TPM2;COL1A1;ACTA2;DCN;BGN;TNC	NA	0.518	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	EXPLORATORY_REPRODUCED	stable_frac=0.00;purity=0.69;best_axis=Stromal(0.39)_UNEXPLAINED
R16P005	2	pattern_group	NA	HTAN_VANDERBILT_CRC	3	3	3/3	CYP3A5;BCL2L14;GPD1;DNAH14;BARX1;MARC1;C10orf99;AMER1;TMEM200B;OR2W3	NA	0.479	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	EXPLORATORY_REPRODUCED	stable_frac=0.25;purity=0.71;best_axis=Epi(-0.14)_UNEXPLAINED
R16P006	2	pattern_group	NA	HTAN_VANDERBILT_CRC	2	1	3/3	FCGBP;ID1;DEPRECATED_ENSG00000211890;HMGCS2;MUC2;CKB;AMN;MUC4;SELENBP1;LRATD1	NA	0.755	value_permutation	200	0.0050	NA	NA	axis_explained=False	NA	DESCRIPTIVE_SINGLE_PATIENT	stable_frac=0.38;purity=0.68;best_axis=Plasma(0.15)_UNEXPLAINED
R16P007	2	pattern_group	NA	HTAN_VANDERBILT_CRC	4	3	3/3	COL3A1;COL1A2;IGFBP7;SPARC;COL1A1;DCN;BGN;SULF1;IGFBP5;FN1	NA	0.369	value_permutation	200	0.0050	NA	NA	axis_explained=True	NA	EXPLORATORY_REPRODUCED	stable_frac=0.43;purity=0.67;best_axis=Plasma(0.75)_explained
