old_group	size	new_group	frac
1	3	213	1.000
2	1	215	1.000
3	1	207	1.000
4	1	32	1.000
5	1	33	1.000
6	1	104	1.000
7	2	252	1.000
8	3	255	1.000
9	1	72	1.000
10	1	69	1.000
11	1	622	1.000
12	1	605	1.000
13	1	747	1.000
14	1	748	1.000
15	1	750	1.000
16	3	119	1.000
17	1	120	1.000
18	1	121	1.000
19	1	132	1.000
20	3	386	1.000
21	1	113	1.000
22	1	771	1.000
23	2	238	1.000
24	2	48	1.000
25	2	50	0.500
26	3	123	1.000
27	1	125	1.000
28	1	129	1.000
29	1	353	1.000
30	1	352	1.000
31	3	179	1.000
32	1	178	1.000
33	1	185	1.000
34	1	186	1.000
35	3	268	1.000
36	1	269	1.000
37	2	114	1.000
38	3	115	1.000
39	3	52	1.000
40	1	53	1.000
41	2	66	1.000
42	3	299	1.000
43	1	300	1.000
44	4	385	1.000
45	2	387	1.000
46	1	388	1.000
47	1	389	1.000
48	1	396	1.000
49	1	617	1.000
50	1	397	1.000
51	1	398	1.000
52	1	402	1.000
53	3	393	1.000
54	1	394	1.000
55	1	127	1.000
56	1	128	1.000
57	1	126	1.000
58	1	122	1.000
59	3	294	1.000
60	1	296	1.000
61	3	55	1.000
62	1	261	1.000
63	1	250	1.000
64	1	306	1.000
65	2	188	1.000
66	2	91	1.000
67	1	96	1.000
68	1	94	1.000
69	2	214	1.000
70	1	216	1.000
71	2	290	1.000
72	3	295	1.000
73	2	70	1.000
74	3	470	1.000
75	1	471	1.000
76	1	472	1.000
77	4	372	1.000
78	3	367	1.000
79	3	373	1.000
80	1	374	1.000
81	3	545	1.000
82	1	546	1.000
83	2	696	1.000
84	2	699	1.000
85	1	700	1.000
86	1	701	1.000
87	1	368	1.000
88	2	370	1.000
89	3	547	1.000
90	1	548	1.000
91	3	375	1.000
92	1	376	1.000
93	3	549	1.000
94	1	550	1.000
95	1	451	1.000
96	1	552	1.000
97	4	559	1.000
98	1	154	1.000
99	1	715	1.000
100	3	483	1.000
101	4	564	1.000
102	4	565	1.000
103	2	608	1.000
104	3	481	1.000
105	3	541	1.000
106	1	542	1.000
107	4	538	1.000
108	2	587	1.000
109	4	543	1.000
110	3	468	1.000
111	3	442	1.000
112	1	443	1.000
113	4	566	1.000
