stem	draw	accepted	frac_within_tol	unique_src_frac	dup_rate	moran_obs	moran_sur	moran_ratio
0019_HTAN_6723_KL_1_filt	0	True	0.777	0.778	0.222	0.085	0.129	1.506
0019_HTAN_6723_KL_1_filt	1	True	0.867	0.867	0.133	0.085	0.111	1.298
0019_HTAN_6723_KL_1_filt	2	True	0.745	0.745	0.255	0.085	0.128	1.494
0019_HTAN_6723_KL_1_filt	3	True	0.838	0.839	0.161	0.085	0.113	1.328
0019_HTAN_6723_KL_1_filt	4	True	0.728	0.728	0.272	0.085	0.123	1.441
0019_HTAN_6723_KL_1_filt	5	True	0.708	0.709	0.291	0.085	0.133	1.557
0019_HTAN_6723_KL_1_filt	6	True	0.709	0.71	0.29	0.085	0.098	1.147
0019_HTAN_6723_KL_1_filt	7	True	0.85	0.85	0.15	0.085	0.122	1.424
0019_HTAN_6723_KL_1_filt	8	True	0.751	0.751	0.249	0.085	0.124	1.451
0019_HTAN_6723_KL_1_filt	9	True	0.792	0.792	0.208	0.085	0.12	1.407
0019_HTAN_6723_KL_1_filt	10	True	0.739	0.74	0.26	0.085	0.106	1.239
0019_HTAN_6723_KL_1_filt	11	True	0.763	0.764	0.236	0.085	0.12	1.401
0019_HTAN_6723_KL_1_filt	12	True	0.812	0.812	0.188	0.085	0.129	1.511
0019_HTAN_6723_KL_1_filt	13	True	0.762	0.763	0.237	0.085	0.111	1.296
0019_HTAN_6723_KL_1_filt	14	True	0.806	0.807	0.193	0.085	0.113	1.327
0019_HTAN_6723_KL_1_filt	15	True	0.773	0.774	0.226	0.085	0.123	1.438
0019_HTAN_6723_KL_1_filt	16	True	0.82	0.821	0.179	0.085	0.125	1.464
0019_HTAN_6723_KL_1_filt	17	True	0.829	0.829	0.171	0.085	0.124	1.453
0019_HTAN_6723_KL_1_filt	18	True	0.778	0.778	0.222	0.085	0.139	1.624
0019_HTAN_6723_KL_1_filt	19	True	0.81	0.811	0.189	0.085	0.114	1.335
0019_HTAN_6723_KL_1_filt	20	True	0.813	0.813	0.187	0.085	0.112	1.317
0019_HTAN_6723_KL_1_filt	21	True	0.772	0.774	0.226	0.085	0.121	1.416
0019_HTAN_6723_KL_1_filt	22	True	0.77	0.772	0.228	0.085	0.117	1.365
0019_HTAN_6723_KL_1_filt	23	True	0.733	0.733	0.267	0.085	0.094	1.097
0019_HTAN_6723_KL_1_filt	24	True	0.701	0.702	0.298	0.085	0.112	1.317
0019_HTAN_6723_KL_1_filt	25	True	0.754	0.754	0.246	0.085	0.114	1.338
0019_HTAN_6723_KL_1_filt	26	True	0.835	0.836	0.164	0.085	0.111	1.302
0019_HTAN_6723_KL_1_filt	27	True	0.793	0.793	0.207	0.085	0.118	1.384
0019_HTAN_6723_KL_1_filt	28	True	0.79	0.791	0.209	0.085	0.128	1.497
0019_HTAN_6723_KL_1_filt	29	True	0.801	0.801	0.199	0.085	0.12	1.409
0019_HTAN_6723_KL_1_filt	30	True	0.779	0.779	0.221	0.085	0.115	1.343
0019_HTAN_6723_KL_1_filt	31	True	0.821	0.821	0.179	0.085	0.115	1.344
