cohort	section	patient	n_spots	n_windows	has_struct_gt
ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	2203	12	False
ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	2385	12	False
ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	2317	12	False
ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	1803	12	False
ST-CRC	ST_CRC_CMS::SN123_A595688_Rep1	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	1192	12	False
ST-CRC	ST_CRC_CMS::SN124_A595688_Rep2	ST_CRC_CMS::PATIENT::4ba09d0d8a81a32c	387	12	False
ST-CRC	ST_CRC_CMS::SN123_A551763_Rep1	ST_CRC_CMS::PATIENT::5399a83c19996600	691	12	False
ST-CRC	ST_CRC_CMS::SN124_A551763_Rep2	ST_CRC_CMS::PATIENT::5399a83c19996600	1219	12	False
ST-CRC	ST_CRC_CMS::SN123_A798015_Rep1	ST_CRC_CMS::PATIENT::5619c44ddca2f782	1685	12	False
ST-CRC	ST_CRC_CMS::SN124_A798015_Rep2	ST_CRC_CMS::PATIENT::5619c44ddca2f782	1656	12	False
ST-CRC	ST_CRC_CMS::SN123_A938797_Rep1_X	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	2128	12	False
ST-CRC	ST_CRC_CMS::SN124_A938797_Rep2	ST_CRC_CMS::PATIENT::8448c8d266f03cd4	1691	12	False
ST-CRC	ST_CRC_CMS::SN84_A120838_Rep1	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	328	12	False
ST-CRC	ST_CRC_CMS::SN84_A120838_Rep2	ST_CRC_CMS::PATIENT::bbb3c37ffe61230a	1048	12	False
USZ	TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	4178	12	True
USZ	TLS_VISIUM_USZ::KC3	TLS_VISIUM_USZ::PATIENT::05d0cf19760f8f04	3217	12	True
USZ	TLS_VISIUM_USZ::LC2	TLS_VISIUM_USZ::PATIENT::5a46f98f9f8eedfe	4456	12	True
USZ	TLS_VISIUM_USZ::LC1	TLS_VISIUM_USZ::PATIENT::7054344dca71771a	4364	12	True
USZ	TLS_VISIUM_USZ::KC1	TLS_VISIUM_USZ::PATIENT::7b9204be03aa71d0	4173	12	True
USZ	TLS_VISIUM_USZ::LC5	TLS_VISIUM_USZ::PATIENT::83fba1cd85d2f31b	2152	12	True
USZ	TLS_VISIUM_USZ::KC2	TLS_VISIUM_USZ::PATIENT::e13843047f4d2612	2166	12	True
USZ	TLS_VISIUM_USZ::LC4	TLS_VISIUM_USZ::PATIENT::ff5fc998488e94c0	3009	12	True
