program	cohort	section	patient	baseline	mse_med	n_windows
P-epi	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	nn	0.23088	12
P-epi	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m1	0.05582	12
P-epi	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m2	0.05627	12
P-stromal	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	nn	0.10354	12
P-stromal	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m1	0.04144	12
P-stromal	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m2	0.04004	12
P-plasma	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	nn	0.0956	12
P-plasma	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m1	0.00633	12
P-plasma	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m2	0.00636	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	nn	0.09321	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m1	0.03197	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m2	0.03202	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	nn	0.10617	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m1	0.03933	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m2	0.03912	12
P-stress	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	nn	0.18383	12
P-stress	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m1	0.06574	12
P-stress	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep1	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m2	0.06105	12
P-epi	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	nn	0.1934	12
P-epi	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m1	0.05094	12
P-epi	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m2	0.05357	12
P-stromal	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	nn	0.14114	12
P-stromal	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m1	0.03389	12
P-stromal	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m2	0.03838	12
P-plasma	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	nn	0.09598	12
P-plasma	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m1	0.00633	12
P-plasma	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m2	0.00569	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	nn	0.0839	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m1	0.0237	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m2	0.02397	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	nn	0.10358	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m1	0.02969	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m2	0.03004	12
P-stress	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	nn	0.14712	12
P-stress	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m1	0.0627	12
P-stress	ST-CRC	ST_CRC_CMS::SN048_A121573_Rep2	ST_CRC_CMS::PATIENT::01d49ea3852dbab9	m2	0.05123	12
P-epi	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	nn	0.12979	12
P-epi	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m1	0.04473	12
P-epi	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m2	0.04562	12
P-stromal	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	nn	0.16489	12
P-stromal	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m1	0.0495	12
P-stromal	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m2	0.04849	12
P-plasma	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	nn	0.02553	12
P-plasma	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m1	0.00593	12
P-plasma	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m2	0.00593	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	nn	0.07255	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m1	0.02206	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m2	0.02208	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	nn	0.17708	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m1	0.02558	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m2	0.02773	12
P-stress	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	nn	0.13842	12
P-stress	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m1	0.06609	12
P-stress	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep1	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m2	0.06491	12
P-epi	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	nn	0.1543	12
P-epi	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m1	0.04697	12
P-epi	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m2	0.04411	12
P-stromal	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	nn	0.27142	12
P-stromal	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m1	0.04915	12
P-stromal	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m2	0.04913	12
P-plasma	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	nn	0.02495	12
P-plasma	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m1	0.00525	12
P-plasma	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m2	0.00529	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	nn	0.07777	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m1	0.02955	12
P-smmhc	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m2	0.02945	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	nn	0.20021	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m1	0.03431	12
P-mhc2	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m2	0.0359	12
P-stress	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	nn	0.20566	12
P-stress	ST-CRC	ST_CRC_CMS::SN048_A416371_Rep2	ST_CRC_CMS::PATIENT::1ae41c966afe7f34	m1	0.07095	12
