section	patient	focus	focus_size	half_hops	seed	pos_cov	mhc2_pos	b_pos	mhc2_neg_med	b_neg_med	mhc2_hit	b_hit	n_neg
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	0	20	3.0	11	0.625	1.0222	0.369	0.5481	0.2519	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	0	20	3.0	22	0.625	1.0222	0.369	0.4012	0.2496	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	0	20	3.0	33	0.625	1.0222	0.369	0.2565	0.183	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	0	20	5.0	11	0.347	1.2223	0.452	0.8104	0.3399	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	0	20	5.0	22	0.347	1.2223	0.452	0.6272	0.2771	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	0	20	5.0	33	0.347	1.2223	0.452	0.4189	0.2208	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	0	20	8.0	11	0.248	1.1836	0.464	0.6612	0.3047	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	0	20	8.0	22	0.248	1.1836	0.464	1.2909	0.3728	False	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	0	20	8.0	33	0.248	1.1836	0.464	0.5359	0.2589	True	True	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	1	14	3.0	11	0.472	0.6636	0.2353	0.9881	0.3103	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	1	14	3.0	22	0.472	0.6636	0.2353	0.4888	0.2552	True	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	1	14	3.0	33	0.472	0.6636	0.2353	0.9353	0.3881	False	False	4
TLS_VISIUM_USZ::LC3	TLS_VISIUM_USZ::PATIENT::0277194ca1561b98	1	14	5.0	11	0.347	0.6959	0.2484	0.9799	0.2889	False	False	4
