gene	in_laneB191	laneB_I_med	laneB_npat_coh	n_sources	npat_max	axis_overlap	sources
AC084121.13	0	NA	NA	29	30	-	AB:0.25/1(npat=30)|AB:0.25/14(npat=2)|AB:0.25/16(npat=16)|AB:0.25/21(npat=9)|AB:0.25/22(npat=10)|AB:0.25/25(npat=2)|AB:0.5/10(npat=19)|AB:0.5/12(npat=22)|AB:0.5/16(npat=20)|AB:0.5/19(npat=14)|AB:0.5/23(npat=11)|AB:0.5/26(npat=10)|AB:0.5/28(npat=2)|AB:0.5/31(npat=3)|AB:1.0/10(npat=20)|AB:1.0/13(npat=14)|AB:1.0/14(npat=14)|AB:1.0/31(npat=15)|AB:1.0/33(npat=15)|AB:1.0/36(npat=2)|AB:1.0/43(npat=2)|AB:1.0/50(npat=2)|AB:1.0/52(npat=2)|AB:1.0/9(npat=22)|H:HARM_025/3(npat=30)|H:HARM_05/1(npat=30)|H:HARM_10/0(npat=30)|H:HARM_10/21(npat=20)|tier2:R16P056(npat=2)
AC134684.9	0	NA	NA	9	30	-	AB:0.25/1(npat=30)|AB:0.25/22(npat=10)|AB:0.5/19(npat=14)|AB:0.5/23(npat=11)|AB:1.0/14(npat=14)|AB:1.0/31(npat=15)|H:HARM_025/3(npat=30)|H:HARM_05/1(npat=30)|H:HARM_10/21(npat=20)
ACSL5	0	NA	NA	2	12	-	AB:0.25/5(npat=11)|AB:0.5/7(npat=12)
ACTA2	1	0.102	21	18	30	Stromal	AB:0.25/9(npat=4)|AB:0.5/10(npat=15)|AB:0.5/20(npat=2)|AB:1.0/14(npat=27)|AB:1.0/16(npat=3)|AB:1.0/20(npat=8)|AB:1.0/25(npat=9)|AB:1.0/26(npat=11)|AB:1.0/26(npat=14)|AB:1.0/34(npat=2)|G:GRAPHST_05/g25(npat=6)|G:GRAPHST_05/g4(npat=2)|H:HARM_025/2(npat=30)|H:HARM_05/6(npat=27)|H:HARM_10/3(npat=25)|laneB191|tier2:R16P004(npat=3)|tier2:R16P058(npat=2)
ACTB	1	0.138	26	19	26	-	AB:0.25/11(npat=12)|AB:0.5/3(npat=14)|AB:0.5/6(npat=21)|AB:1.0/17(npat=9)|AB:1.0/2(npat=14)|AB:1.0/22(npat=8)|AB:1.0/28(npat=11)|AB:1.0/32(npat=4)|AB:1.0/38(npat=3)|G:GRAPHST_10/g39(npat=3)|H:HARM_025/11(npat=4)|H:HARM_025/5(npat=11)|H:HARM_025/7(npat=2)|H:HARM_05/13(npat=10)|H:HARM_05/21(npat=4)|H:HARM_10/25(npat=12)|H:HARM_10/26(npat=11)|H:HARM_10/33(npat=11)|laneB191
ACTG1	1	0.302	28	12	30	-	AB:0.25/0(npat=30)|AB:0.25/20(npat=13)|AB:0.5/0(npat=30)|AB:0.5/1(npat=30)|AB:0.5/8(npat=26)|AB:1.0/1(npat=30)|AB:1.0/19(npat=21)|AB:1.0/22(npat=8)|AB:1.0/37(npat=14)|G:GRAPHST_05/g59(npat=23)|laneB191|tier2:R16P009(npat=2)
ACTG2	1	0.114	17	24	27	-	AB:0.25/19(npat=4)|AB:0.25/2(npat=21)|AB:0.25/5(npat=16)|AB:0.25/6(npat=14)|AB:0.25/9(npat=4)|AB:0.5/10(npat=15)|AB:0.5/15(npat=13)|AB:0.5/20(npat=2)|AB:0.5/21(npat=22)|AB:0.5/23(npat=6)|AB:0.5/5(npat=16)|AB:0.5/9(npat=14)|AB:1.0/16(npat=3)|AB:1.0/20(npat=8)|AB:1.0/23(npat=21)|AB:1.0/25(npat=9)|AB:1.0/26(npat=11)|AB:1.0/35(npat=9)|AB:1.0/47(npat=7)|AB:1.0/49(npat=2)|G:GRAPHST_025/g52(npat=20)|G:GRAPHST_05/g25(npat=6)|H:HARM_10/9(npat=27)|laneB191
ADAM7	0	NA	NA	1	30	-	AB:0.25/1(npat=30)
ADH1B	0	NA	NA	1	22	-	AB:0.25/3(npat=22)
ADIPOQ	0	NA	NA	1	27	-	G:GRAPHST_05/g24(npat=27)
ADM	0	NA	NA	2	19	-	H:HARM_05/8(npat=19)|H:HARM_10/12(npat=18)
AEBP1	0	NA	NA	2	7	-	AB:0.5/34(npat=2)|H:HARM_05/19(npat=7)
AGR2	0	NA	NA	14	22	T	AB:0.25/18(npat=3)|AB:0.25/2(npat=9)|AB:0.25/23(npat=4)|AB:0.5/3(npat=14)|AB:0.5/4(npat=9)|AB:1.0/2(npat=14)|AB:1.0/2(npat=21)|AB:1.0/3(npat=14)|AB:1.0/3(npat=22)|H:HARM_05/13(npat=10)|H:HARM_05/15(npat=3)|H:HARM_05/17(npat=3)|H:HARM_10/26(npat=11)|H:HARM_10/27(npat=2)
AHCY	1	0.14	25	18	28	-	AB:0.25/1(npat=21)|AB:0.25/15(npat=2)|AB:0.25/20(npat=13)|AB:0.5/13(npat=13)|AB:0.5/2(npat=18)|AB:0.5/24(npat=17)|AB:0.5/8(npat=26)|AB:0.5/8(npat=7)|AB:1.0/19(npat=21)|AB:1.0/37(npat=14)|AB:1.0/4(npat=21)|AB:1.0/51(npat=4)|AB:1.0/7(npat=16)|AB:1.0/8(npat=17)|G:GRAPHST_025/g19(npat=21)|H:HARM_05/7(npat=28)|H:HARM_10/8(npat=26)|laneB191
AKAP4	0	NA	NA	1	28	-	H:HARM_10/15(npat=28)
AL136454.1	1	0.159	24	10	28	-	AB:0.25/20(npat=13)|AB:0.5/2(npat=18)|AB:1.0/37(npat=14)|AB:1.0/41(npat=7)|AB:1.0/8(npat=17)|H:HARM_025/0(npat=28)|H:HARM_05/0(npat=23)|H:HARM_10/2(npat=23)|H:HARM_10/33(npat=11)|laneB191
ALDOA	1	0.248	27	5	30	-	AB:0.25/0(npat=30)|AB:1.0/0(npat=30)|G:GRAPHST_05/g59(npat=23)|H:HARM_10/13(npat=26)|laneB191
