module	size	mean_abs_r	min_abs_r	genes
M213	159	0.596	0.297	ACSL5,ACTB,ACTG1,AHCY,AL136454.1,ALDOA,ANXA2,ASS1,ATP5F1B,B2M,BSG,C19orf33,CALM1,CALR,CD81,CD9,CDC42EP5,CEACAM5,CEACAM6,CFL1,CHCHD2,CLDN3,CLDN4,CLDN7,COX5A,COX6A1,COX7C,CTSD,CTSZ,DBI,DEPRECATED_ENSG00000140264,DEPRECATED_ENSG00000142192,EEF1A1,EEF1B2,EEF1G,EEF2,EIF4B,EIF5A,EIF6,ELF3,ENO1,EPCAM,ERBB2,ETHE1,FAM153B,FAM3D,FASN,FERMT1,FTH1,FTL,FXYD3,GAPDH,GPRC5A,GPX2,GSTP1,HIST1H1B,HIST1H1C,HIST1H1E,HIST1H2AD,HIST1H2AH,HIST1H2AJ,HIST1H2AM,HIST1H2BK,HIST1H2BN,HIST1H2BO,HIST1H4A,HIST1H4D,HIST2H2BF,HLA-B,HLA-E,HMGA1,HMGB2,HMGN2,HNRNPA2B1,HNRNPA3,HSP90AA1,HSPA1B,HSPA5,HSPA8,HSPB1,HSPD1,HSPE1,IER3,IFI27,IFITM2,IFITM3,IL32,KRT18,KRT8,LAMP1,LDHA,LDHB,LGALS3BP,LGALS4,MAL2,MARCKSL1,MIF,MLEC,MUC13,MYC,NACA,NCL,NME2,NOP53,NPIPB4,NPM1,ODC1,P4HB,PABPC1,PDIA4,PDIA6,PFN1,PHGR1,PKM,PLEC,POLD2,PPDPF,PPIA,PPP1R1B,PRDX5,PRELID3B,PTGES3,RAB5IF,RACK1,RAN,S100A10,S100A11,S100A14,S100A6,SAT1,SCD,SERF1A,SERF2,SLC12A2,SLC25A5,SLC25A6,SNRPD1,SPINT2,SQSTM1,ST14,TAGLN2,TFF3,TKT,TMA7,TMSB10,TMSB4X,TPT1,TSPAN1,TSPAN8,TSTA3,TUBB,TXN,UBA52,UBB,UBC,UQCRQ,VDAC1,XBP1,YWHAZ
M93	11	0.554	0.452	DEPRECATED_ENSG00000211685,DEPRECATED_ENSG00000211890,IGHA1,IGHV3-30,IGHV3-35,IGKC,IGKV1D-12,IGKV3OR2-268,IGLC2,IGLC3,JCHAIN
M132	9	0.548	0.468	C1R,COL1A1,COL1A2,COL3A1,COL6A3,DCN,IGFBP7,SPARC,VIM
M139	3	0.522	0.510	ACTA2,FLNA,MYL9
M123	2	0.570	0.570	CD74,HLA-DRA
M197	2	0.612	0.612	DEPRECATED_ENSG00000170345,FOS
M187	2	0.508	0.508	MT1E,MT2A
M362	1	1.000	1.000	AC084121.13
M372	1	1.000	1.000	AC134684.9
M43	1	1.000	1.000	ACTG2
M356	1	1.000	1.000	ADAM7
M79	1	1.000	1.000	ADH1B
M18	1	1.000	1.000	ADIPOQ
M283	1	1.000	1.000	ADM
M137	1	1.000	1.000	AEBP1
M230	1	1.000	1.000	AGR2
M347	1	1.000	1.000	AKAP4
M322	1	1.000	1.000	ALPG
M298	1	1.000	1.000	AMER1
M239	1	1.000	1.000	AMN
M337	1	1.000	1.000	ANKRD20A3
M116	1	1.000	1.000	ANO7
M171	1	1.000	1.000	ANPEP
M266	1	1.000	1.000	ANXA1
M332	1	1.000	1.000	ANXA10
M09	1	1.000	1.000	APOA1
M11	1	1.000	1.000	APOA4
M07	1	1.000	1.000	APOB
M127	1	1.000	1.000	APOE
M287	1	1.000	1.000	AQP3
M72	1	1.000	1.000	AQP8
M248	1	1.000	1.000	AREG
M327	1	1.000	1.000	ARX
M278	1	1.000	1.000	ASCL2
M65	1	1.000	1.000	ASPN
M63	1	1.000	1.000	ATP1A2
M233	1	1.000	1.000	AXIN2
M119	1	1.000	1.000	B3GNT6
M80	1	1.000	1.000	B4GALNT2
M32	1	1.000	1.000	BANK1
M331	1	1.000	1.000	BARX1
M268	1	1.000	1.000	BCL2L14
M74	1	1.000	1.000	BEST4
M314	1	1.000	1.000	BEX5
M135	1	1.000	1.000	BGN
M28	1	1.000	1.000	BLK
M288	1	1.000	1.000	BMP7
M179	1	1.000	1.000	BST2
M272	1	1.000	1.000	C10orf99
M155	1	1.000	1.000	C11orf96
M126	1	1.000	1.000	C1QC
M121	1	1.000	1.000	C3
M58	1	1.000	1.000	C7
M75	1	1.000	1.000	CA1
M162	1	1.000	1.000	CA2
M70	1	1.000	1.000	CA4
M373	1	1.000	1.000	CA5A
M338	1	1.000	1.000	CALB1
M228	1	1.000	1.000	CAPG
M142	1	1.000	1.000	CAVIN1
M261	1	1.000	1.000	CCDC88B
M33	1	1.000	1.000	CCL19
M34	1	1.000	1.000	CCL21
M14	1	1.000	1.000	CCL3L1
M130	1	1.000	1.000	CCN1
M131	1	1.000	1.000	CCN2
M30	1	1.000	1.000	CD19
M107	1	1.000	1.000	CD37
M35	1	1.000	1.000	CD52
M257	1	1.000	1.000	CD55
M101	1	1.000	1.000	CD79A
M243	1	1.000	1.000	CDC20
M207	1	1.000	1.000	CDCA7
M341	1	1.000	1.000	CDH16
M221	1	1.000	1.000	CDH17
M211	1	1.000	1.000	CDHR5
M202	1	1.000	1.000	CDKN1A
M296	1	1.000	1.000	CDKN2A
M192	1	1.000	1.000	CEACAM1
M301	1	1.000	1.000	CEL
M325	1	1.000	1.000	CES1
M282	1	1.000	1.000	CFD
M328	1	1.000	1.000	CHGA
M185	1	1.000	1.000	CKB
M114	1	1.000	1.000	CLCA1
M73	1	1.000	1.000	CLCA4
M39	1	1.000	1.000	CLDN18
M31	1	1.000	1.000	CLEC17A
M62	1	1.000	1.000	CLEC3B
M41	1	1.000	1.000	CLU
M375	1	1.000	1.000	CNBD1
M47	1	1.000	1.000	CNN1
M144	1	1.000	1.000	COL4A1
M133	1	1.000	1.000	COL6A2
M103	1	1.000	1.000	CORO1A
M241	1	1.000	1.000	CREB3L1
M254	1	1.000	1.000	CRIP1
M312	1	1.000	1.000	CST1
M24	1	1.000	1.000	CT45A10
M225	1	1.000	1.000	CTSA
M36	1	1.000	1.000	CXCL13
M280	1	1.000	1.000	CXCL14
M85	1	1.000	1.000	CXCL8
M105	1	1.000	1.000	CXCR4
M01	1	1.000	1.000	CYLC1
M302	1	1.000	1.000	CYP2W1
M195	1	1.000	1.000	CYP3A5
M02	1	1.000	1.000	CYP7A1
M238	1	1.000	1.000	DDIT4
M76	1	1.000	1.000	DEFA5
M77	1	1.000	1.000	DEFA6
M10	1	1.000	1.000	DEPRECATED_ENSG00000118137
M274	1	1.000	1.000	DEPRECATED_ENSG00000124664
M104	1	1.000	1.000	DEPRECATED_ENSG00000211772
M90	1	1.000	1.000	DEPRECATED_ENSG00000211892
M46	1	1.000	1.000	DES
M223	1	1.000	1.000	DGAT1
M40	1	1.000	1.000	DKK4
M340	1	1.000	1.000	DLX5
M113	1	1.000	1.000	DMBT1
M299	1	1.000	1.000	DNAH14
M255	1	1.000	1.000	DPEP1
