program	patient	n_sections	med_spots	med_moran_raw	med_moran_Q	med_moran_QC	status
P-epi	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	1	665	0.7548	0.6168	0.2709	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	2	2897	0.8758	0.5160	0.3751	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	2	3077	0.8463	0.3536	0.3149	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	2	2585	0.8658	0.4131	0.2091	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::1cdbf9c9f9ca1d51	2	2034	0.8028	0.5438	0.3105	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::2660ebb0a070d36e	1	93	0.5952	0.5554	0.2614	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::283e577e68cd34cf	1	830	0.6393	0.4350	0.3098	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::286667cab598bb4a	2	3558	0.8024	0.6050	0.3883	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	2	1816	0.8286	0.4416	0.3649	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::3e050f81f3d36d48	1	3708	0.7089	0.3815	0.1734	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	1	2047	0.8048	0.7830	0.4773	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::46cd4bcce25745d5	2	2521	0.7761	0.6295	0.2900	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	4	3917	0.9068	0.5906	0.4007	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::4f81822a6f2ecd63	3	4099	0.6853	0.3659	0.2776	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::51764d2ec560e464	2	4097	0.7369	0.5410	0.3921	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	1	495	0.8138	0.5632	0.2534	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	1	1014	0.7204	0.5362	0.3490	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	2	3260	0.9195	0.7728	0.4561	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::772733d53add12a2	1	469	0.4942	0.4998	0.1876	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::82a1eb08b47e14fe	1	370	0.8539	0.3075	0.2355	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::8abcbad99198901e	1	818	0.7048	0.6653	0.4972	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::8d0d8f21b233f35b	2	3684	0.7818	0.6612	0.4294	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	1	581	0.6662	0.3299	0.3312	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	1	584	0.8654	0.7703	0.2942	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::a29ba9b1cd4cf508	2	3540	0.9330	0.7187	0.4684	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::b279c0a0ecf76890	1	229	0.5373	0.5104	0.2150	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	1	494	0.7905	0.7024	0.4605	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	1	1312	0.7216	0.5177	0.4282	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::c591c5e150910f33	2	2681	0.8667	0.6762	0.5718	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	1	4132	0.7617	0.6327	0.5106	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	1	665	0.4216	0.4077	0.1345	OK
