program	patient	section	n_spots	gene_coverage	moran_raw	moran_resid_Q	moran_resid_QC	status
P-epi	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	HTAN::8270_AS_2_filtered_trimmed.h5ad	665	16/16	0.7548	0.6168	0.2709	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	HTAN::8270_AS_2_filtered_trimmed.h5ad	665	9/9	0.3188	0.2364	0.0769	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	HTAN::8270_AS_2_filtered_trimmed.h5ad	665	11/11	0.6109	0.5051	0.1985	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	HTAN::8270_AS_2_filtered_trimmed.h5ad	665	3/3	0.1934	0.1687	0.0505	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	HTAN::8270_AS_2_filtered_trimmed.h5ad	665	2/2	0.4216	0.4077	0.1345	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::07dc676d92f9d153	HTAN::8270_AS_2_filtered_trimmed.h5ad	665	2/2	0.2663	0.0303	-0.0109	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN::7003_AS_5_filtered_trimmed.h5ad	3261	16/16	0.8843	0.5931	0.3712	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN::7003_AS_5_filtered_trimmed.h5ad	3261	9/9	0.6635	0.521	0.3002	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN::7003_AS_5_filtered_trimmed.h5ad	3261	11/11	0.7465	0.6413	0.289	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN::7003_AS_5_filtered_trimmed.h5ad	3261	3/3	0.6958	0.3868	0.1747	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN::7003_AS_5_filtered_trimmed.h5ad	3261	2/2	0.6914	0.4266	0.2224	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN::7003_AS_5_filtered_trimmed.h5ad	3261	2/2	0.7801	0.6465	0.5698	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN::7003_AS_6_filtered_trimmed.h5ad	2533	16/16	0.8672	0.4388	0.379	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN::7003_AS_6_filtered_trimmed.h5ad	2533	9/9	0.6317	0.4866	0.2247	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN::7003_AS_6_filtered_trimmed.h5ad	2533	11/11	0.7975	0.7962	0.359	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN::7003_AS_6_filtered_trimmed.h5ad	2533	3/3	0.7037	0.4435	0.1725	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN::7003_AS_6_filtered_trimmed.h5ad	2533	2/2	0.6741	0.2749	0.1902	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN::7003_AS_6_filtered_trimmed.h5ad	2533	2/2	0.822	0.7766	0.5761	OK
P-epi	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	HTAN::7003_AS_1_filtered_trimmed.h5ad	3461	16/16	0.8057	0.2498	0.2302	OK
P-stromal	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	HTAN::7003_AS_1_filtered_trimmed.h5ad	3461	9/9	0.7067	0.2252	0.2162	OK
P-plasma	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	HTAN::7003_AS_1_filtered_trimmed.h5ad	3461	11/11	0.1217	0.0477	0.0419	OK
P-smmhc	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	HTAN::7003_AS_1_filtered_trimmed.h5ad	3461	3/3	0.3917	0.0307	0.0265	OK
P-mhc2	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	HTAN::7003_AS_1_filtered_trimmed.h5ad	3461	2/2	0.3011	0.0378	0.0344	OK
P-stress	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	HTAN::7003_AS_1_filtered_trimmed.h5ad	3461	2/2	0.2508	0.018	0.018	OK
