go_id	raw_size	covered_size	n_input	n_readout	representative
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	6	4	2	2	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	18	9	5	4	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	19	9	5	4	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	29	10	5	5	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION
GOBP_4_HYDROXYPROLINE_METABOLIC_PROCESS	6	4	2	2	GOBP_4_HYDROXYPROLINE_METABOLIC_PROCESS
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	8	3	2	1	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION
GOBP_ACETATE_ESTER_METABOLIC_PROCESS	7	6	3	3	GOBP_ACETATE_ESTER_METABOLIC_PROCESS
GOBP_ACETATE_ESTER_TRANSPORT	9	4	2	2	GOBP_ACETATE_ESTER_TRANSPORT
GOBP_ACETYLCHOLINE_SECRETION	5	3	2	1	GOBP_ACETYLCHOLINE_SECRETION
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	21	9	5	4	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS
GOBP_ACETYL_COA_METABOLIC_PROCESS	37	18	9	9	GOBP_ACETYL_COA_METABOLIC_PROCESS
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	73	39	20	19	GOBP_ACIDIC_AMINO_ACID_TRANSPORT
GOBP_ACID_SECRETION	42	26	13	13	GOBP_ACID_SECRETION
GOBP_ACINAR_CELL_DIFFERENTIATION	5	4	2	2	GOBP_ACINAR_CELL_DIFFERENTIATION
GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	9	3	2	1	GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS
GOBP_ACROSOME_ASSEMBLY	38	16	8	8	GOBP_ACROSOME_ASSEMBLY
GOBP_ACROSOME_REACTION	43	20	10	10	GOBP_ACROSOME_REACTION
GOBP_ACTIN_CROSSLINK_FORMATION	14	10	5	5	GOBP_ACTIN_CROSSLINK_FORMATION
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	146	88	44	44	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT
GOBP_ACTIN_FILAMENT_BASED_PROCESS	842	405	203	202	GOBP_ACTIN_FILAMENT_BASED_PROCESS
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	174	89	45	44	GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	60	33	17	16	GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	9	3	2	1	GOBP_ACTIN_FILAMENT_NETWORK_FORMATION
GOBP_ACTIN_FILAMENT_ORGANIZATION	467	222	111	111	GOBP_ACTIN_FILAMENT_ORGANIZATION
GOBP_ACTIN_FILAMENT_POLYMERIZATION	157	70	35	35	GOBP_ACTIN_FILAMENT_POLYMERIZATION
GOBP_ACTIN_FILAMENT_SEVERING	17	11	6	5	GOBP_ACTIN_FILAMENT_SEVERING
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	123	75	38	37	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	19	11	6	5	GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING
GOBP_ACTIN_NUCLEATION	58	20	10	10	GOBP_ACTIN_NUCLEATION
GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	7	3	2	1	GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	187	89	45	44	GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION
GOBP_ACTION_POTENTIAL	179	115	58	57	GOBP_ACTION_POTENTIAL
GOBP_ACTION_POTENTIAL_PROPAGATION	12	8	4	4	GOBP_ACTION_POTENTIAL_PROPAGATION
GOBP_ACTIVATED_T_CELL_PROLIFERATION	51	29	15	14	GOBP_ACTIVATED_T_CELL_PROLIFERATION
GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS	10	5	3	2	GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS
GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY	15	9	5	4	GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	24	9	5	4	GOBP_ACTIVATION_OF_GTPASE_ACTIVITY
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	621	302	151	151	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	341	143	72	71	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE
GOBP_ACTIVATION_OF_MEIOSIS	6	3	2	1	GOBP_ACTIVATION_OF_MEIOSIS
GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY	10	5	3	2	GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	41	22	11	11	GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY
GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY	8	6	3	3	GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY
GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	54	28	14	14	GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY
GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION	10	7	4	3	GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	216	103	52	51	GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION
GOBP_ACUTE_INFLAMMATORY_RESPONSE	112	74	37	37	GOBP_ACUTE_INFLAMMATORY_RESPONSE
GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	32	21	11	10	GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS
GOBP_ACUTE_PHASE_RESPONSE	47	33	17	16	GOBP_ACUTE_PHASE_RESPONSE
GOBP_ACYLGLYCEROL_HOMEOSTASIS	48	22	11	11	GOBP_ACYLGLYCEROL_HOMEOSTASIS
GOBP_ACYLGLYCEROL_TRANSPORT	8	6	3	3	GOBP_ACYLGLYCEROL_TRANSPORT
GOBP_ACYL_COA_METABOLIC_PROCESS	100	46	23	23	GOBP_ACYL_COA_METABOLIC_PROCESS
GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE	7	4	2	2	GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONSE	765	366	183	183	GOBP_ADAPTIVE_IMMUNE_RESPONSE
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	390	204	102	102	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS
GOBP_ADAPTIVE_THERMOGENESIS	169	87	44	43	GOBP_ADAPTIVE_THERMOGENESIS
GOBP_ADENINE_TRANSPORT	6	3	2	1	GOBP_ADENINE_TRANSPORT
GOBP_ADENOHYPOPHYSIS_DEVELOPMENT	16	10	5	5	GOBP_ADENOHYPOPHYSIS_DEVELOPMENT
GOBP_ADENOSINE_METABOLIC_PROCESS	11	6	3	3	GOBP_ADENOSINE_METABOLIC_PROCESS
GOBP_ADENOSINE_TRANSPORT	5	4	2	2	GOBP_ADENOSINE_TRANSPORT
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	20	10	5	5	GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY
