go_id	rep_id	n_input	n_readout	disc_QC_med	STCRC_mol	STCRC_dM1	STCRC_dM2	USZ_mol	USZ_dM1	USZ_dM2
GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS	2	2	0.0215	0.1512	0.10	2.77	0.0601	13.14	19.48
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS	5	4	0.0367	0.3963	0.96	-0.68	0.2514	19.67	8.18
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	5	4	0.0650	0.6111	0.23	0.28	0.4110	28.82	15.71
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	5	5	0.0292	0.4883	0.42	0.90	0.3079	22.22	19.32
GOBP_4_HYDROXYPROLINE_METABOLIC_PROCESS	GOBP_4_HYDROXYPROLINE_METABOLIC_PROCESS	2	2	0.0814	0.3477	-0.22	0.24	0.2135	7.30	6.21
GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION	2	1	0.0364	0.4261	4.90	5.75	0.1123	26.73	18.63
GOBP_ACETATE_ESTER_METABOLIC_PROCESS	GOBP_ACETATE_ESTER_METABOLIC_PROCESS	3	3	0.0360	0.1531	0.00	-1.44	0.0092	-2.53	-7.51
GOBP_ACETATE_ESTER_TRANSPORT	GOBP_ACETATE_ESTER_TRANSPORT	2	2	-0.0024	0.0093	0.00	0.01	-0.0030	-0.06	-0.25
GOBP_ACETYLCHOLINE_SECRETION	GOBP_ACETYLCHOLINE_SECRETION	2	1	0.0507	0.0004	-0.02	0.01	-0.0034	-0.11	0.04
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	5	4	0.0247	0.4698	1.89	1.42	0.1348	16.98	30.61
GOBP_ACETYL_COA_METABOLIC_PROCESS	GOBP_ACETYL_COA_METABOLIC_PROCESS	9	9	0.0436	0.5664	5.90	4.96	0.2545	32.72	34.20
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	GOBP_ACIDIC_AMINO_ACID_TRANSPORT	20	19	0.0330	0.5345	0.19	0.00	0.3374	42.71	33.62
GOBP_ACID_SECRETION	GOBP_ACID_SECRETION	13	13	0.0359	0.1411	-0.62	-1.05	0.0798	0.83	3.98
GOBP_ACINAR_CELL_DIFFERENTIATION	GOBP_ACINAR_CELL_DIFFERENTIATION	2	2	0.0197	0.1136	0.12	0.47	0.0377	7.46	20.62
GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS	2	1	0.0082	-0.0054	-0.05	-0.02	-0.0030	0.00	0.08
GOBP_ACROSOME_ASSEMBLY	GOBP_ACROSOME_ASSEMBLY	8	8	0.0177	0.2906	0.31	0.59	0.1020	13.38	13.09
GOBP_ACROSOME_REACTION	GOBP_ACROSOME_REACTION	10	10	0.0532	0.3610	5.71	1.48	0.1121	5.62	3.20
GOBP_ACTIN_CROSSLINK_FORMATION	GOBP_ACTIN_CROSSLINK_FORMATION	5	5	0.0608	0.3699	0.67	0.34	0.2717	3.71	1.95
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	44	44	0.0804	0.8240	12.65	3.78	0.7246	65.33	21.99
GOBP_ACTIN_FILAMENT_BASED_PROCESS	GOBP_ACTIN_FILAMENT_BASED_PROCESS	203	202	0.1715	0.9443	52.08	2.06	0.9215	88.48	5.23
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	45	44	0.0828	0.8656	24.23	7.84	0.7754	67.94	12.86
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	17	16	0.0677	0.7583	13.01	5.32	0.4620	34.58	7.38
GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	GOBP_ACTIN_FILAMENT_NETWORK_FORMATION	2	1	0.0343	0.0196	-0.11	0.07	0.0726	-0.10	-0.12
GOBP_ACTIN_FILAMENT_ORGANIZATION	GOBP_ACTIN_FILAMENT_ORGANIZATION	111	111	0.1618	0.9463	42.49	4.02	0.8811	83.72	10.54
GOBP_ACTIN_FILAMENT_POLYMERIZATION	GOBP_ACTIN_FILAMENT_POLYMERIZATION	35	35	0.0882	0.7868	17.37	4.76	0.7030	48.64	10.84
GOBP_ACTIN_FILAMENT_SEVERING	GOBP_ACTIN_FILAMENT_SEVERING	6	5	0.0484	0.6645	2.77	3.33	0.4100	9.52	7.52
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	38	37	0.0756	0.7460	15.92	4.25	0.6019	47.75	17.54
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	6	5	0.0019	0.0648	-0.07	-0.56	0.0372	6.42	4.89
GOBP_ACTIN_NUCLEATION	GOBP_ACTIN_NUCLEATION	10	10	0.0556	0.5476	3.42	3.51	0.3023	10.59	5.85
GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY	2	1	0.0319	0.0885	0.01	0.24	0.0504	-0.05	-0.01
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	45	44	0.0607	0.8536	14.90	2.28	0.7351	60.73	19.73
GOBP_ACTION_POTENTIAL	GOBP_ACTION_POTENTIAL	58	57	0.0676	0.7686	8.00	5.41	0.6834	73.19	15.60
GOBP_ACTION_POTENTIAL_PROPAGATION	GOBP_ACTION_POTENTIAL_PROPAGATION	4	4	0.0068	0.0161	0.01	0.10	0.0425	19.60	33.37
GOBP_ACTIVATED_T_CELL_PROLIFERATION	GOBP_ACTIVATED_T_CELL_PROLIFERATION	15	14	0.0350	0.6754	9.96	11.06	0.4485	19.09	11.57
GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS	GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS	3	2	0.0118	0.1394	0.04	-0.01	0.0704	2.92	2.72
GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY	GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY	5	4	0.0170	0.0432	0.01	-0.10	0.0363	0.40	1.94
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	5	4	0.0423	0.2908	1.91	2.92	0.1371	31.73	21.43
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	151	151	0.1281	0.9414	54.48	6.37	0.9249	57.23	0.72
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	72	71	0.0975	0.9158	39.07	6.68	0.8238	80.66	14.13
GOBP_ACTIVATION_OF_MEIOSIS	GOBP_ACTIVATION_OF_MEIOSIS	2	1	0.0088	0.0232	-0.04	-0.29	0.0002	0.14	1.25
GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY	GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY	3	2	0.0324	0.0859	-0.10	-0.06	0.0272	0.45	3.07
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	11	11	0.0251	0.3546	-0.02	-0.13	0.2315	24.45	21.28
GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY	GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY	3	3	0.0221	0.0350	0.87	0.66	0.0677	-0.24	-0.26
GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	14	14	0.0555	0.4803	3.58	2.91	0.2825	34.33	13.52
GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION	GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION	4	3	0.0390	0.4054	2.09	1.28	0.2483	22.74	17.70
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	52	51	0.0816	0.8940	24.40	6.77	0.7882	67.78	10.01
GOBP_ACUTE_INFLAMMATORY_RESPONSE	GOBP_ACUTE_INFLAMMATORY_RESPONSE	37	37	0.0922	0.7826	11.48	3.10	0.7208	30.03	3.27
GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	11	10	0.0564	0.5271	4.09	3.39	0.5343	8.29	4.03
GOBP_ACUTE_PHASE_RESPONSE	GOBP_ACUTE_PHASE_RESPONSE	17	16	0.1223	0.5575	5.12	0.34	0.3240	4.66	1.05
GOBP_ACYLGLYCEROL_HOMEOSTASIS	GOBP_ACYLGLYCEROL_HOMEOSTASIS	11	11	0.0452	0.4881	3.90	2.50	0.4239	5.88	2.53
GOBP_ACYLGLYCEROL_TRANSPORT	GOBP_ACYLGLYCEROL_TRANSPORT	3	3	0.0783	0.0092	0.26	0.20	0.0311	-0.04	-0.32
GOBP_ACYL_COA_METABOLIC_PROCESS	GOBP_ACYL_COA_METABOLIC_PROCESS	23	23	0.0412	0.7469	12.79	6.29	0.3716	54.05	39.05
GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE	GOBP_ADAPTIVE_IMMUNE_MEMORY_RESPONSE	2	2	0.0048	0.1163	1.64	5.60	0.1502	-0.07	-0.21
GOBP_ADAPTIVE_IMMUNE_RESPONSE	GOBP_ADAPTIVE_IMMUNE_RESPONSE	183	183	0.1143	0.9462	71.75	4.77	0.9365	75.96	4.70
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	102	102	0.1094	0.9346	34.56	1.94	0.8839	29.32	0.68
GOBP_ADAPTIVE_THERMOGENESIS	GOBP_ADAPTIVE_THERMOGENESIS	44	43	0.1185	0.7787	12.46	2.13	0.7066	60.30	18.71
GOBP_ADENINE_TRANSPORT	GOBP_ADENINE_TRANSPORT	2	1	0.0098	0.1311	0.39	1.85	0.0663	11.86	15.28
GOBP_ADENOHYPOPHYSIS_DEVELOPMENT	GOBP_ADENOHYPOPHYSIS_DEVELOPMENT	5	5	0.0245	-0.0025	-0.02	0.03	0.0831	35.95	34.71
GOBP_ADENOSINE_METABOLIC_PROCESS	GOBP_ADENOSINE_METABOLIC_PROCESS	3	3	0.0435	0.1196	-0.16	-0.57	0.0386	0.02	-0.01
GOBP_ADENOSINE_TRANSPORT	GOBP_ADENOSINE_TRANSPORT	2	2	0.0146	0.0330	0.17	0.28	0.0218	2.96	8.20
GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	5	5	0.0455	0.0289	0.98	1.05	0.0254	0.07	0.43
GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	3	2	0.0125	0.0578	0.70	1.52	0.0080	0.03	0.09
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	58	57	0.0624	0.5351	-7.14	-6.02	0.4859	16.42	2.25
GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	GOBP_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY	2	2	0.0077	0.0585	1.63	4.76	0.0568	0.07	-0.21
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	4	3	-0.0003	0.0164	0.00	-0.01	0.0143	0.30	0.92
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	3	3	0.0043	-0.0027	0.00	-0.07	0.0107	0.11	0.23
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	29	29	0.0346	0.4898	5.77	9.01	0.3676	5.56	9.71
GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	GOBP_ADENYLATE_CYCLASE_INHIBITING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	3	3	0.0164	0.0116	0.09	0.01	0.0224	0.10	0.46
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	89	89	0.0452	0.7334	12.36	3.27	0.6675	39.34	15.20
GOBP_ADHERENS_JUNCTION_ASSEMBLY	GOBP_ADHERENS_JUNCTION_ASSEMBLY	5	5	0.0105	0.5254	3.36	6.25	0.3185	16.48	13.03
GOBP_ADHERENS_JUNCTION_MAINTENANCE	GOBP_ADHERENS_JUNCTION_MAINTENANCE	2	2	0.0204	0.1348	-0.07	-0.41	0.0992	4.26	13.03
GOBP_ADHERENS_JUNCTION_ORGANIZATION	GOBP_ADHERENS_JUNCTION_ORGANIZATION	20	19	0.0647	0.7593	6.93	3.07	0.5853	55.96	12.07
GOBP_ADHESION_OF_SYMBIONT_TO_HOST	GOBP_ADHESION_OF_SYMBIONT_TO_HOST	7	7	0.0668	0.5614	-0.35	0.47	0.4171	15.49	6.08
GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL	GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL	5	5	0.0314	0.5245	-0.24	0.30	0.2805	3.62	5.73
