go_id	raw_size	covered_size	reason
GOBP_2FE_2S_CLUSTER_ASSEMBLY	11	2	covered<3
GOBP_4FE_4S_CLUSTER_ASSEMBLY	5	1	covered<3
GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III	6	1	covered<3
GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS	5	2	covered<3
GOBP_7_METHYLGUANOSINE_RNA_CAPPING	8	2	covered<3
GOBP_ACTIN_FILAMENT_BASED_TRANSPORT	8	2	covered<3
GOBP_ACTIVATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY	5	1	covered<3
GOBP_ADENOSINE_TO_INOSINE_EDITING	6	2	covered<3
GOBP_ADENYLATE_CYCLASE_ACTIVATING_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	5	0	covered<3
GOBP_ADP_BIOSYNTHETIC_PROCESS	5	1	covered<3
GOBP_AIM2_INFLAMMASOME_COMPLEX_ASSEMBLY	7	2	covered<3
GOBP_ALDITOL_CATABOLIC_PROCESS	7	2	covered<3
GOBP_AMINO_ACID_SALVAGE	5	2	covered<3
GOBP_AMP_SALVAGE	6	2	covered<3
GOBP_AMYLOID_BETA_CLEARANCE_BY_TRANSCYTOSIS	7	1	covered<3
GOBP_APICAL_CONSTRICTION	5	2	covered<3
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	5	2	covered<3
GOBP_ASPARAGINE_METABOLIC_PROCESS	5	2	covered<3
GOBP_ASYMMETRIC_NEUROBLAST_DIVISION	6	0	covered<3
GOBP_AUTOPHAGOSOME_MEMBRANE_DOCKING	7	0	covered<3
GOBP_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	12	2	covered<3
GOBP_BRAINSTEM_DEVELOPMENT	8	2	covered<3
GOBP_B_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	6	2	covered<3
GOBP_CALCITRIOL_BIOSYNTHETIC_PROCESS_FROM_CALCIOL	5	2	covered<3
GOBP_CALCIUM_ACTIVATED_PHOSPHATIDYLCHOLINE_SCRAMBLING	5	2	covered<3
GOBP_CAP_DEPENDENT_TRANSLATIONAL_INITIATION	9	1	covered<3
GOBP_CARBON_CATABOLITE_REGULATION_OF_TRANSCRIPTION	7	1	covered<3
GOBP_CARDIAC_MUSCLE_MYOBLAST_PROLIFERATION	7	0	covered<3
GOBP_CARDIAC_MUSCLE_TISSUE_REGENERATION	8	2	covered<3
GOBP_CARDIOLIPIN_ACYL_CHAIN_REMODELING	5	2	covered<3
GOBP_CARTILAGE_HOMEOSTASIS	5	2	covered<3
GOBP_CELLULAR_RESPONSE_TO_HYPEROXIA	5	2	covered<3
GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_13	5	2	covered<3
GOBP_CELLULAR_RESPONSE_TO_LIGHT_INTENSITY	5	2	covered<3
GOBP_CELLULAR_RESPONSE_TO_METHIONINE	5	1	covered<3
GOBP_CELLULAR_RESPONSE_TO_MURAMYL_DIPEPTIDE	10	2	covered<3
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_LEVELS	12	0	covered<3
GOBP_CELLULAR_RESPONSE_TO_PROGESTERONE_STIMULUS	5	1	covered<3
GOBP_CELLULAR_RESPONSE_TO_SALT	6	2	covered<3
GOBP_CELLULAR_RESPONSE_TO_SODIUM_ARSENITE	5	1	covered<3
GOBP_CELLULAR_RESPONSE_TO_UV_C	6	1	covered<3
GOBP_CELL_DIFFERENTIATION_INVOLVED_IN_PHENOTYPIC_SWITCHING	5	1	covered<3
GOBP_CELL_MOTILITY_INVOLVED_IN_CEREBRAL_CORTEX_RADIAL_GLIA_GUIDED_MIGRATION	7	0	covered<3
GOBP_CELL_SUBSTRATE_JUNCTION_DISASSEMBLY	8	1	covered<3
GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT	6	2	covered<3
GOBP_CENTRAL_NERVOUS_SYSTEM_MATURATION	7	1	covered<3
GOBP_CENTRIOLE_CENTRIOLE_COHESION	15	2	covered<3
GOBP_CERAMIDE_1_PHOSPHATE_TRANSPORT	7	2	covered<3
GOBP_CHROMOSOME_ATTACHMENT_TO_THE_NUCLEAR_ENVELOPE	7	2	covered<3
GOBP_CILIARY_BASAL_BODY_ORGANIZATION	5	2	covered<3
GOBP_CILIARY_NEUROTROPHIC_FACTOR_MEDIATED_SIGNALING_PATHWAY	5	2	covered<3
GOBP_CITRULLINE_BIOSYNTHETIC_PROCESS	5	2	covered<3
