program	section	dist01	fit
P-epi	TLS_VISIUM_USZ::LC3	0.328	0.2345
P-epi	TLS_VISIUM_USZ::LC3	0.422	0.0796
P-epi	TLS_VISIUM_USZ::LC3	0.516	0.1077
P-epi	TLS_VISIUM_USZ::LC3	0.609	0.146
P-epi	TLS_VISIUM_USZ::LC3	0.703	0.1344
P-stromal	TLS_VISIUM_USZ::LC3	0.328	2.6605
P-stromal	TLS_VISIUM_USZ::LC3	0.422	1.6319
P-stromal	TLS_VISIUM_USZ::LC3	0.516	1.883
P-stromal	TLS_VISIUM_USZ::LC3	0.609	2.1491
P-stromal	TLS_VISIUM_USZ::LC3	0.703	2.0094
P-plasma	TLS_VISIUM_USZ::LC3	0.328	2.7272
P-plasma	TLS_VISIUM_USZ::LC3	0.422	2.1057
P-plasma	TLS_VISIUM_USZ::LC3	0.516	2.1586
P-plasma	TLS_VISIUM_USZ::LC3	0.609	2.2613
P-plasma	TLS_VISIUM_USZ::LC3	0.703	2.2097
P-smmhc	TLS_VISIUM_USZ::LC3	0.328	1.6205
P-smmhc	TLS_VISIUM_USZ::LC3	0.422	0.743
P-smmhc	TLS_VISIUM_USZ::LC3	0.516	1.0059
P-smmhc	TLS_VISIUM_USZ::LC3	0.609	1.271
P-smmhc	TLS_VISIUM_USZ::LC3	0.703	1.1506
P-mhc2	TLS_VISIUM_USZ::LC3	0.328	1.7041
P-mhc2	TLS_VISIUM_USZ::LC3	0.422	0.6604
P-mhc2	TLS_VISIUM_USZ::LC3	0.516	0.861
P-mhc2	TLS_VISIUM_USZ::LC3	0.609	1.1225
P-mhc2	TLS_VISIUM_USZ::LC3	0.703	1.0355
P-stress	TLS_VISIUM_USZ::LC3	0.328	0.1621
P-stress	TLS_VISIUM_USZ::LC3	0.422	0.0668
P-stress	TLS_VISIUM_USZ::LC3	0.516	0.0754
P-stress	TLS_VISIUM_USZ::LC3	0.609	0.0759
P-stress	TLS_VISIUM_USZ::LC3	0.703	0.0433
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::LC3	0.328	0.4922
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::LC3	0.422	0.1514
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::LC3	0.516	0.2237
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::LC3	0.609	0.3077
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::LC3	0.703	0.2686
B-axis	TLS_VISIUM_USZ::LC3	0.328	0.4264
B-axis	TLS_VISIUM_USZ::LC3	0.422	0.2569
B-axis	TLS_VISIUM_USZ::LC3	0.516	0.2807
B-axis	TLS_VISIUM_USZ::LC3	0.609	0.314
B-axis	TLS_VISIUM_USZ::LC3	0.703	0.2966
P-epi	TLS_VISIUM_USZ::KC3	0.234	0.3358
P-epi	TLS_VISIUM_USZ::KC3	0.328	0.3422
P-epi	TLS_VISIUM_USZ::KC3	0.422	0.3431
P-epi	TLS_VISIUM_USZ::KC3	0.516	0.3301
P-epi	TLS_VISIUM_USZ::KC3	0.609	0.3178
P-epi	TLS_VISIUM_USZ::KC3	0.703	0.3185
P-stromal	TLS_VISIUM_USZ::KC3	0.234	2.1022
P-stromal	TLS_VISIUM_USZ::KC3	0.328	2.0182
P-stromal	TLS_VISIUM_USZ::KC3	0.422	2.0215
P-stromal	TLS_VISIUM_USZ::KC3	0.516	2.0793
P-stromal	TLS_VISIUM_USZ::KC3	0.609	2.149
P-stromal	TLS_VISIUM_USZ::KC3	0.703	2.201
P-plasma	TLS_VISIUM_USZ::KC3	0.234	4.0347
P-plasma	TLS_VISIUM_USZ::KC3	0.328	3.9412
P-plasma	TLS_VISIUM_USZ::KC3	0.422	3.9722
P-plasma	TLS_VISIUM_USZ::KC3	0.516	4.024
P-plasma	TLS_VISIUM_USZ::KC3	0.609	4.083
P-plasma	TLS_VISIUM_USZ::KC3	0.703	4.1566
P-smmhc	TLS_VISIUM_USZ::KC3	0.234	1.9206
P-smmhc	TLS_VISIUM_USZ::KC3	0.328	1.9271
P-smmhc	TLS_VISIUM_USZ::KC3	0.422	2.0086
P-smmhc	TLS_VISIUM_USZ::KC3	0.516	2.0316
P-smmhc	TLS_VISIUM_USZ::KC3	0.609	2.022
P-smmhc	TLS_VISIUM_USZ::KC3	0.703	2.0324
P-mhc2	TLS_VISIUM_USZ::KC3	0.234	2.6677
P-mhc2	TLS_VISIUM_USZ::KC3	0.328	2.5537
P-mhc2	TLS_VISIUM_USZ::KC3	0.422	2.5951
P-mhc2	TLS_VISIUM_USZ::KC3	0.516	2.5933
P-mhc2	TLS_VISIUM_USZ::KC3	0.609	2.6134
P-mhc2	TLS_VISIUM_USZ::KC3	0.703	2.7368
P-stress	TLS_VISIUM_USZ::KC3	0.234	0.6602
P-stress	TLS_VISIUM_USZ::KC3	0.328	0.6887
P-stress	TLS_VISIUM_USZ::KC3	0.422	0.7384
P-stress	TLS_VISIUM_USZ::KC3	0.516	0.7402
P-stress	TLS_VISIUM_USZ::KC3	0.609	0.7173
P-stress	TLS_VISIUM_USZ::KC3	0.703	0.7064
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::KC3	0.234	0.6844
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::KC3	0.328	0.6341
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::KC3	0.422	0.6317
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::KC3	0.516	0.6326
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::KC3	0.609	0.6494
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::KC3	0.703	0.6958
B-axis	TLS_VISIUM_USZ::KC3	0.234	0.6103
B-axis	TLS_VISIUM_USZ::KC3	0.328	0.5841
B-axis	TLS_VISIUM_USZ::KC3	0.422	0.5784
B-axis	TLS_VISIUM_USZ::KC3	0.516	0.5793
B-axis	TLS_VISIUM_USZ::KC3	0.609	0.5896
B-axis	TLS_VISIUM_USZ::KC3	0.703	0.6122
P-epi	TLS_VISIUM_USZ::LC2	0.141	1.395
P-epi	TLS_VISIUM_USZ::LC2	0.234	1.7659
P-epi	TLS_VISIUM_USZ::LC2	0.328	1.7469
P-epi	TLS_VISIUM_USZ::LC2	0.422	1.5655
