program	n_sec	majority	n_h2l	n_l2h	n_nonmono	n_flat	med_r2	med_amp
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	8	nonmonotonic	1	1	4	2	0.1953	0.0483
GO:GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	8	nonmonotonic	1	1	4	2	0.1498	0.0504
GO:GOBP_ACTIN_FILAMENT_ORGANIZATION	8	nonmonotonic	2	1	3	2	0.1645	0.0517
GO:GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	8	nonmonotonic	1	0	4	3	0.1907	0.0433
GO:GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	8	nonmonotonic	1	1	3	3	0.1338	0.0493
GO:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	8	nonmonotonic	0	0	4	4	0.1273	0.0450
GO:GOBP_ADAPTIVE_IMMUNE_RESPONSE	8	flat	1	0	3	4	0.1906	0.0357
GO:GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	8	nonmonotonic	1	1	3	3	0.1725	0.0559
GO:GOBP_AEROBIC_RESPIRATION	8	nonmonotonic	0	1	4	3	0.1280	0.1119
GO:GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	8	nonmonotonic	1	0	4	3	0.1248	0.0404
GO:GOBP_ALCOHOL_METABOLIC_PROCESS	8	nonmonotonic	1	0	4	3	0.1315	0.0418
GO:GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	8	nonmonotonic	1	1	3	3	0.1658	0.0438
GO:GOBP_ALPHA_BETA_T_CELL_ACTIVATION	8	nonmonotonic	2	0	4	2	0.1254	0.0393
GO:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	8	nonmonotonic	1	1	3	3	0.1694	0.0667
GO:GOBP_AMIDE_METABOLIC_PROCESS	8	nonmonotonic	2	1	3	2	0.1379	0.0386
GO:GOBP_AMINO_ACID_METABOLIC_PROCESS	8	nonmonotonic	0	0	5	3	0.1641	0.0452
GO:GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	8	nonmonotonic	2	1	3	2	0.2011	0.0423
GO:GOBP_ANATOMICAL_STRUCTURE_MATURATION	8	nonmonotonic	1	1	3	3	0.1320	0.0237
