program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
P-epi	TLS_VISIUM_USZ::LC3	27	772	0.188	1.8e-34	nonmonotonic	0.1549
P-stromal	TLS_VISIUM_USZ::LC3	27	772	0.1836	1.42e-33	nonmonotonic	1.0286
P-plasma	TLS_VISIUM_USZ::LC3	27	772	0.115	3.23e-20	nonmonotonic	0.6215
P-smmhc	TLS_VISIUM_USZ::LC3	27	772	0.1554	5.93e-28	nonmonotonic	0.8775
P-mhc2	TLS_VISIUM_USZ::LC3	27	772	0.1979	1.63e-36	nonmonotonic	1.0437
P-stress	TLS_VISIUM_USZ::LC3	27	772	0.027	0.000105	nonmonotonic	0.1188
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::LC3	27	772	0.2052	5.12e-38	nonmonotonic	0.3408
B-axis	TLS_VISIUM_USZ::LC3	27	772	0.1712	4.4e-31	nonmonotonic	0.1694
P-epi	TLS_VISIUM_USZ::KC3	20	440	0.0095	0.246	flat	0.0253
P-stromal	TLS_VISIUM_USZ::KC3	20	440	0.0451	0.000158	flat	0.1828
P-plasma	TLS_VISIUM_USZ::KC3	20	440	0.025	0.0113	flat	0.2154
P-smmhc	TLS_VISIUM_USZ::KC3	20	440	0.0137	0.11	flat	0.1118
P-mhc2	TLS_VISIUM_USZ::KC3	20	440	0.064	2.38e-06	flat	0.183
P-stress	TLS_VISIUM_USZ::KC3	20	440	0.0018	0.849	flat	0.08
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::KC3	20	440	0.0641	2.33e-06	flat	0.0641
B-axis	TLS_VISIUM_USZ::KC3	20	440	0.0343	0.00164	flat	0.0337
P-epi	TLS_VISIUM_USZ::LC2	11	514	0.1254	9.26e-15	flat	0.4591
P-stromal	TLS_VISIUM_USZ::LC2	11	514	0.1764	2.48e-21	nonmonotonic	0.6643
P-plasma	TLS_VISIUM_USZ::LC2	11	514	0.0323	0.000786	flat	0.4107
P-smmhc	TLS_VISIUM_USZ::LC2	11	514	0.1516	4.35e-18	flat	0.5305
P-mhc2	TLS_VISIUM_USZ::LC2	11	514	0.0396	0.000127	flat	0.4084
P-stress	TLS_VISIUM_USZ::LC2	11	514	0.0552	2.24e-06	flat	0.3463
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::LC2	11	514	0.0761	8.78e-09	flat	0.2178
B-axis	TLS_VISIUM_USZ::LC2	11	514	0.0792	3.77e-09	flat	0.1549
P-epi	TLS_VISIUM_USZ::LC1	17	579	0.0607	7.39e-08	flat	0.1004
P-stromal	TLS_VISIUM_USZ::LC1	17	579	0.1205	6.32e-16	flat	0.1896
P-plasma	TLS_VISIUM_USZ::LC1	17	579	0.3486	3.46e-53	flat	0.7565
P-smmhc	TLS_VISIUM_USZ::LC1	17	579	0.0597	9.83e-08	flat	0.1641
P-mhc2	TLS_VISIUM_USZ::LC1	17	579	0.0141	0.0429	flat	0.0704
P-stress	TLS_VISIUM_USZ::LC1	17	579	0.0018	0.793	nonmonotonic	0.0229
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::LC1	17	579	0.0215	0.00585	high-to-low	0.0193
B-axis	TLS_VISIUM_USZ::LC1	17	579	0.3125	1.74e-46	flat	0.0849
P-epi	TLS_VISIUM_USZ::KC1	7	1088	0.0083	0.0288	high-to-low	0.0201
P-stromal	TLS_VISIUM_USZ::KC1	7	1088	0.1581	3.21e-40	flat	0.3565
P-plasma	TLS_VISIUM_USZ::KC1	7	1088	0.082	5.56e-20	flat	0.1792
P-smmhc	TLS_VISIUM_USZ::KC1	7	1088	0.0487	1.04e-11	flat	0.125
P-mhc2	TLS_VISIUM_USZ::KC1	7	1088	0.0677	2.15e-16	high-to-low	0.2757
P-stress	TLS_VISIUM_USZ::KC1	7	1088	0.0005	0.91	nonmonotonic	0.0097
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::KC1	7	1088	0.0759	1.98e-18	high-to-low	0.0577
B-axis	TLS_VISIUM_USZ::KC1	7	1088	0.1117	1.2e-27	flat	0.0286
P-epi	TLS_VISIUM_USZ::LC5	7	312	0.1485	9.8e-11	nonmonotonic	0.4554
P-stromal	TLS_VISIUM_USZ::LC5	7	312	0.1046	1.92e-07	flat	0.592
P-plasma	TLS_VISIUM_USZ::LC5	7	312	0.0668	8.98e-05	flat	0.6668
P-smmhc	TLS_VISIUM_USZ::LC5	7	312	0.0971	6.64e-07	nonmonotonic	0.5541
P-mhc2	TLS_VISIUM_USZ::LC5	7	312	0.0472	0.0019	flat	0.597
P-stress	TLS_VISIUM_USZ::LC5	7	312	0.1415	3.35e-10	nonmonotonic	0.7912
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::LC5	7	312	0.0374	0.0083	flat	0.1709
B-axis	TLS_VISIUM_USZ::LC5	7	312	0.0735	3.12e-05	flat	0.1545
P-epi	TLS_VISIUM_USZ::KC2	4	481	0.303	4e-37	low-to-high	0.096
P-stromal	TLS_VISIUM_USZ::KC2	4	481	0.1275	4.69e-14	low-to-high	0.1116
P-plasma	TLS_VISIUM_USZ::KC2	4	481	0.0473	3.79e-05	nonmonotonic	0.1392
P-smmhc	TLS_VISIUM_USZ::KC2	4	481	0.0137	0.0858	low-to-high	0.0799
P-mhc2	TLS_VISIUM_USZ::KC2	4	481	0.0788	1.59e-08	low-to-high	0.2247
P-stress	TLS_VISIUM_USZ::KC2	4	481	0.0069	0.348	flat	0.0366
GO:ANTIGEN_PROCESSING_AND_PRESENT	TLS_VISIUM_USZ::KC2	4	481	0.0823	6.53e-09	low-to-high	0.0462
