program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0136	0.0146	flat	0.0027
GO:GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0848	1.08e-14	flat	0.0214
GO:GOBP_ACTIN_FILAMENT_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0688	7.53e-12	flat	0.0097
GO:GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0419	3.38e-07	flat	0.0061
GO:GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.1152	2.97e-20	flat	0.02
GO:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.01	0.0524	flat	0.004
GO:GOBP_ADAPTIVE_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0621	1.15e-10	flat	0.0069
GO:GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	TLS_VISIUM_USZ::LC3	27	772	0.0045	0.327	flat	0.0028
GO:GOBP_AEROBIC_RESPIRATION	TLS_VISIUM_USZ::LC3	27	772	0.1502	6.17e-27	flat	0.0418
GO:GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0019	0.685	flat	0.0022
GO:GOBP_ALCOHOL_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0262	0.000142	flat	0.0055
GO:GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0684	8.98e-12	flat	0.013
GO:GOBP_ALPHA_BETA_T_CELL_ACTIVATION	TLS_VISIUM_USZ::LC3	27	772	0.0035	0.438	flat	0.0027
GO:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	TLS_VISIUM_USZ::LC3	27	772	0.0978	4.84e-17	flat	0.0203
GO:GOBP_AMIDE_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0036	0.428	flat	0.0017
GO:GOBP_AMINO_ACID_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.15	6.79e-27	flat	0.0195
GO:GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0445	1.21e-07	flat	0.0058
GO:GOBP_ANATOMICAL_STRUCTURE_MATURATION	TLS_VISIUM_USZ::LC3	27	772	0.1895	9.05e-35	flat	0.0205
GO:GOBP_ANIMAL_ORGAN_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.009	0.0739	flat	0.0018
GO:GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	TLS_VISIUM_USZ::LC3	27	772	0.1438	1.11e-25	flat	0.02
GO:GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0245	0.000263	flat	0.0108
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	TLS_VISIUM_USZ::LC3	27	772	0.1183	7.72e-21	flat	0.0394
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.0349	5.11e-06	flat	0.0293
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.0594	3.44e-10	flat	0.0547
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.1203	3.21e-21	flat	0.0616
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.1252	3.9e-22	flat	0.0828
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.1039	3.63e-18	flat	0.0599
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	TLS_VISIUM_USZ::LC3	27	772	0.042	3.24e-07	flat	0.0295
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	TLS_VISIUM_USZ::LC3	27	772	0.0762	3.69e-13	flat	0.0569
GO:GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0007	0.919	flat	0.0023
GO:GOBP_AORTIC_VALVE_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0187	0.00225	flat	0.015
GO:GOBP_APICAL_JUNCTION_ASSEMBLY	TLS_VISIUM_USZ::LC3	27	772	0.0099	0.0543	flat	0.0073
GO:GOBP_APOPTOTIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.1834	1.56e-33	flat	0.0135
GO:GOBP_APOPTOTIC_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.1643	1.04e-29	flat	0.0322
GO:GOBP_APPENDAGE_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0357	3.79e-06	flat	0.0096
GO:GOBP_ARTERY_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0274	8.81e-05	flat	0.0112
GO:GOBP_ATP_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.1411	3.57e-25	flat	0.0537
GO:GOBP_ATP_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.1684	1.64e-30	flat	0.048
GO:GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	TLS_VISIUM_USZ::LC3	27	772	0.1262	2.5e-22	flat	0.0488
GO:GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	TLS_VISIUM_USZ::LC3	27	772	0.0079	0.108	flat	0.0089
GO:GOBP_AXON_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0971	6.42e-17	flat	0.0095
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC3	27	772	0.141	3.85e-25	flat	0.0137
GO:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	TLS_VISIUM_USZ::LC3	27	772	0.1282	1.05e-22	flat	0.0394
GO:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	TLS_VISIUM_USZ::LC3	27	772	0.0914	7.04e-16	flat	0.0072
GO:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	TLS_VISIUM_USZ::LC3	27	772	0.0973	5.97e-17	flat	0.0229
GO:GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	TLS_VISIUM_USZ::LC3	27	772	0.12	3.77e-21	flat	0.0366
GO:GOBP_BLOOD_VESSEL_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.1087	4.83e-19	flat	0.0153
GO:GOBP_BONE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0272	9.71e-05	flat	0.0098
GO:GOBP_BONE_MINERALIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0076	0.118	flat	0.0048
GO:GOBP_BONE_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.011	0.037	flat	0.0064
GO:GOBP_B_CELL_ACTIVATION	TLS_VISIUM_USZ::LC3	27	772	0.0046	0.319	flat	0.0026
GO:GOBP_B_CELL_MEDIATED_IMMUNITY	TLS_VISIUM_USZ::LC3	27	772	0.0032	0.485	flat	0.003
GO:GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0185	0.0025	flat	0.0103
GO:GOBP_CALCIUM_ION_HOMEOSTASIS	TLS_VISIUM_USZ::LC3	27	772	0.0055	0.235	flat	0.0024
GO:GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	TLS_VISIUM_USZ::LC3	27	772	0.0045	0.323	flat	0.0032
GO:GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	TLS_VISIUM_USZ::LC3	27	772	0.0936	2.83e-16	flat	0.0118
GO:GOBP_CALCIUM_ION_TRANSPORT	TLS_VISIUM_USZ::LC3	27	772	0.0486	2.43e-08	flat	0.007
GO:GOBP_CALCIUM_MEDIATED_SIGNALING	TLS_VISIUM_USZ::LC3	27	772	0.0767	3.08e-13	flat	0.0116
GO:GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	TLS_VISIUM_USZ::LC3	27	772	0.0484	2.66e-08	flat	0.0121
GO:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.061	1.75e-10	flat	0.0121
GO:GOBP_CARBOHYDRATE_CATABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0089	0.077	flat	0.005
GO:GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.1094	3.6e-19	flat	0.0131
GO:GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0513	8.63e-09	flat	0.011
GO:GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0865	5.48e-15	flat	0.0082
GO:GOBP_CARBOHYDRATE_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0118	0.0281	flat	0.0032
GO:GOBP_CARDIAC_CHAMBER_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0108	0.039	flat	0.0047
GO:GOBP_CARDIAC_CHAMBER_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0035	0.445	flat	0.0026
GO:GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0907	9.23e-16	flat	0.0137
GO:GOBP_CARDIAC_SEPTUM_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0247	0.000251	flat	0.0098
GO:GOBP_CARDIAC_VENTRICLE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.1027	6.05e-18	flat	0.0243
GO:GOBP_CARTILAGE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0355	4.09e-06	flat	0.0106
GO:GOBP_CELLULAR_COMPONENT_DISASSEMBLY	TLS_VISIUM_USZ::LC3	27	772	0.0148	0.00951	flat	0.0045
