program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0153	0.00792	nonmonotonic	0.0025
GO:GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0066	0.167	nonmonotonic	0.0034
GO:GOBP_ACTIN_FILAMENT_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0137	0.014	nonmonotonic	0.0038
GO:GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0018	0.708	nonmonotonic	0.0015
GO:GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0008	0.898	low-to-high	0.0011
GO:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0133	0.0161	nonmonotonic	0.005
GO:GOBP_ADAPTIVE_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0334	9e-06	nonmonotonic	0.0043
GO:GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	TLS_VISIUM_USZ::LC3	27	772	0.0178	0.00315	nonmonotonic	0.0048
GO:GOBP_AEROBIC_RESPIRATION	TLS_VISIUM_USZ::LC3	27	772	0.0012	0.827	nonmonotonic	0.0017
GO:GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0008	0.888	low-to-high	0.0014
GO:GOBP_ALCOHOL_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0121	0.0245	nonmonotonic	0.0037
GO:GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0013	0.792	low-to-high	0.0014
GO:GOBP_ALPHA_BETA_T_CELL_ACTIVATION	TLS_VISIUM_USZ::LC3	27	772	0.0024	0.606	flat	0.0018
GO:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	TLS_VISIUM_USZ::LC3	27	772	0.0081	0.1	flat	0.0038
GO:GOBP_AMIDE_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0042	0.359	nonmonotonic	0.0018
GO:GOBP_AMINO_ACID_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.003	0.515	nonmonotonic	0.0013
GO:GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0047	0.302	nonmonotonic	0.0014
GO:GOBP_ANATOMICAL_STRUCTURE_MATURATION	TLS_VISIUM_USZ::LC3	27	772	0.0095	0.061	low-to-high	0.003
GO:GOBP_ANIMAL_ORGAN_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0021	0.655	nonmonotonic	0.0008
GO:GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	TLS_VISIUM_USZ::LC3	27	772	0.0014	0.784	nonmonotonic	0.001
GO:GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0064	0.179	nonmonotonic	0.0046
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	TLS_VISIUM_USZ::LC3	27	772	0.0129	0.0186	low-to-high	0.0079
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.0215	0.000827	low-to-high	0.0176
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.015	0.00873	nonmonotonic	0.0184
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.0155	0.00734	low-to-high	0.0152
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.0188	0.00221	low-to-high	0.0194
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.0233	0.00042	low-to-high	0.0157
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	TLS_VISIUM_USZ::LC3	27	772	0.0101	0.0509	nonmonotonic	0.0108
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	TLS_VISIUM_USZ::LC3	27	772	0.0179	0.00308	nonmonotonic	0.0167
GO:GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0015	0.757	nonmonotonic	0.0036
GO:GOBP_AORTIC_VALVE_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0015	0.772	low-to-high	0.0038
GO:GOBP_APICAL_JUNCTION_ASSEMBLY	TLS_VISIUM_USZ::LC3	27	772	0.0037	0.421	nonmonotonic	0.0044
GO:GOBP_APOPTOTIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0016	0.741	nonmonotonic	0.0006
GO:GOBP_APOPTOTIC_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0143	0.0115	nonmonotonic	0.0042
GO:GOBP_APPENDAGE_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0029	0.529	nonmonotonic	0.0025
GO:GOBP_ARTERY_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0059	0.206	nonmonotonic	0.0048
GO:GOBP_ATP_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.009	0.0738	nonmonotonic	0.0098
GO:GOBP_ATP_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0023	0.617	low-to-high	0.0031
