program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0126	0.0211	nonmonotonic	0.004
GO:GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0079	0.106	nonmonotonic	0.0065
GO:GOBP_ACTIN_FILAMENT_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0099	0.053	nonmonotonic	0.005
GO:GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0354	4.2e-06	high-to-low	0.0109
GO:GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0158	0.00669	nonmonotonic	0.01
GO:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0135	0.0149	high-to-low	0.0091
GO:GOBP_ADAPTIVE_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0164	0.00525	nonmonotonic	0.0057
GO:GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	TLS_VISIUM_USZ::LC3	27	772	0.0118	0.0276	flat	0.0066
GO:GOBP_AEROBIC_RESPIRATION	TLS_VISIUM_USZ::LC3	27	772	0.0042	0.354	nonmonotonic	0.0072
GO:GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0008	0.901	nonmonotonic	0.0026
GO:GOBP_ALCOHOL_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0179	0.00311	high-to-low	0.0076
GO:GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.001	0.854	low-to-high	0.0025
GO:GOBP_ALPHA_BETA_T_CELL_ACTIVATION	TLS_VISIUM_USZ::LC3	27	772	0.0019	0.699	nonmonotonic	0.0036
GO:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	TLS_VISIUM_USZ::LC3	27	772	0.005	0.275	high-to-low	0.0063
GO:GOBP_AMIDE_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0065	0.17	nonmonotonic	0.0038
GO:GOBP_AMINO_ACID_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0021	0.658	low-to-high	0.002
GO:GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0003	0.977	nonmonotonic	0.0005
GO:GOBP_ANATOMICAL_STRUCTURE_MATURATION	TLS_VISIUM_USZ::LC3	27	772	0.0113	0.0325	low-to-high	0.0051
GO:GOBP_ANIMAL_ORGAN_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0157	0.00681	nonmonotonic	0.0045
GO:GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	TLS_VISIUM_USZ::LC3	27	772	0.0008	0.894	nonmonotonic	0.0012
GO:GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0145	0.0104	nonmonotonic	0.0207
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	TLS_VISIUM_USZ::LC3	27	772	0.0053	0.253	low-to-high	0.0118
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.0133	0.0161	low-to-high	0.0338
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.0033	0.473	nonmonotonic	0.0213
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.01	0.0514	low-to-high	0.0228
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.001	0.852	nonmonotonic	0.009
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	TLS_VISIUM_USZ::LC3	27	772	0.0116	0.0299	low-to-high	0.0265
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	TLS_VISIUM_USZ::LC3	27	772	0.0051	0.267	nonmonotonic	0.0177
GO:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	TLS_VISIUM_USZ::LC3	27	772	0.0079	0.107	low-to-high	0.0219
GO:GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	TLS_VISIUM_USZ::LC3	27	772	0.0023	0.63	nonmonotonic	0.0068
GO:GOBP_AORTIC_VALVE_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0026	0.577	nonmonotonic	0.0077
GO:GOBP_APICAL_JUNCTION_ASSEMBLY	TLS_VISIUM_USZ::LC3	27	772	0.008	0.102	nonmonotonic	0.0109
GO:GOBP_APOPTOTIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.015	0.00879	nonmonotonic	0.0037
GO:GOBP_APOPTOTIC_SIGNALING_PATHWAY	TLS_VISIUM_USZ::LC3	27	772	0.0107	0.0409	nonmonotonic	0.0093
GO:GOBP_APPENDAGE_MORPHOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.003	0.508	low-to-high	0.0038
GO:GOBP_ARTERY_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0037	0.411	nonmonotonic	0.0068
GO:GOBP_ATP_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0069	0.149	nonmonotonic	0.0122
GO:GOBP_ATP_METABOLIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0026	0.578	nonmonotonic	0.0054
GO:GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	TLS_VISIUM_USZ::LC3	27	772	0.0021	0.664	nonmonotonic	0.008
GO:GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	TLS_VISIUM_USZ::LC3	27	772	0.0002	0.986	nonmonotonic	0.002
GO:GOBP_AXON_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0015	0.758	nonmonotonic	0.0021
