program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0136	0.0146	flat	0.0027
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC3	27	772	0.141	3.85e-25	flat	0.0137
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC3	27	772	0.0023	0.625	flat	0.0012
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC3	27	772	0.0005	0.936	flat	0.0005
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC3	27	772	0.0128	0.0197	flat	0.0152
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0182	0.00277	flat	0.0145
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC3	27	772	0.0485	2.54e-08	flat	0.0163
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC3	27	772	0.133	1.32e-23	flat	0.0176
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC3	27	772	0.1171	1.29e-20	flat	0.0179
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC3	27	772	0.034	7.32e-06	flat	0.0116
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.1373	1.97e-24	flat	0.0466
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC3	27	772	0.0101	0.051	flat	0.0084
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0203	0.00126	flat	0.0055
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC3	27	772	0.0046	0.313	flat	0.0016
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC3	27	772	0.1537	1.31e-27	flat	0.0172
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC3	27	772	0.0866	5.12e-15	flat	0.0145
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC3	27	772	0.1206	2.84e-21	flat	0.0455
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0899	1.3e-15	flat	0.0276
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0332	9.87e-06	flat	0.0187
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.1066	1.14e-18	flat	0.0111
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0049	0.544	flat	0.002
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::KC3	20	440	0.0051	0.523	flat	0.002
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::KC3	20	440	0.0029	0.734	flat	0.0021
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::KC3	20	440	0.0051	0.526	flat	0.0016
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::KC3	20	440	0.018	0.0472	flat	0.0132
