program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0153	0.00792	nonmonotonic	0.0025
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC3	27	772	0.0049	0.287	nonmonotonic	0.0015
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC3	27	772	0.0058	0.218	nonmonotonic	0.0019
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC3	27	772	0.0019	0.691	nonmonotonic	0.0007
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC3	27	772	0.0018	0.714	nonmonotonic	0.0048
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0097	0.0579	flat	0.0113
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC3	27	772	0.0058	0.217	nonmonotonic	0.0042
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC3	27	772	0.0026	0.572	flat	0.0021
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC3	27	772	0.0024	0.608	high-to-low	0.002
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC3	27	772	0.0005	0.939	flat	0.0009
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0155	0.00739	nonmonotonic	0.0088
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC3	27	772	0.004	0.379	nonmonotonic	0.0047
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0032	0.484	flat	0.0024
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC3	27	772	0.0042	0.359	nonmonotonic	0.0014
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0008	0.895	nonmonotonic	0.0007
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC3	27	772	0.003	0.509	low-to-high	0.002
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC3	27	772	0.0009	0.867	nonmonotonic	0.0023
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0023	0.614	nonmonotonic	0.0035
GO:GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	TLS_VISIUM_USZ::LC3	27	772	0.0065	0.171	nonmonotonic	0.0084
GO:GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	TLS_VISIUM_USZ::LC3	27	772	0.0078	0.109	high-to-low	0.0019
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::KC3	20	440	0.0085	0.29	nonmonotonic	0.0027
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::KC3	20	440	0.006	0.454	flat	0.0019
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::KC3	20	440	0.0071	0.376	high-to-low	0.0025
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::KC3	20	440	0.0067	0.403	nonmonotonic	0.0014
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::KC3	20	440	0.0189	0.0395	nonmonotonic	0.0145
