program	section	n_foci	n_tum_kept	r2	p	shape	amplitude
GO:GOBP_ACTIN_FILAMENT_BASED_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0126	0.0211	nonmonotonic	0.004
GO:GOBP_BEHAVIOR	TLS_VISIUM_USZ::LC3	27	772	0.0064	0.178	nonmonotonic	0.0024
GO:GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	TLS_VISIUM_USZ::LC3	27	772	0.0094	0.0637	nonmonotonic	0.0045
GO:GOBP_CHEMICAL_HOMEOSTASIS	TLS_VISIUM_USZ::LC3	27	772	0.0092	0.0676	nonmonotonic	0.0033
GO:GOBP_DNA_STRAND_ELONGATION	TLS_VISIUM_USZ::LC3	27	772	0.0041	0.364	nonmonotonic	0.0145
GO:GOBP_FACE_DEVELOPMENT	TLS_VISIUM_USZ::LC3	27	772	0.0115	0.0306	nonmonotonic	0.0184
GO:GOBP_IMPORT_INTO_NUCLEUS	TLS_VISIUM_USZ::LC3	27	772	0.0052	0.261	nonmonotonic	0.0075
GO:GOBP_MEIOTIC_CELL_CYCLE	TLS_VISIUM_USZ::LC3	27	772	0.0019	0.688	nonmonotonic	0.0031
GO:GOBP_MRNA_PROCESSING	TLS_VISIUM_USZ::LC3	27	772	0.0087	0.0802	high-to-low	0.0078
GO:GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	TLS_VISIUM_USZ::LC3	27	772	0.0026	0.566	nonmonotonic	0.0051
GO:GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0201	0.00138	nonmonotonic	0.0188
GO:GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	TLS_VISIUM_USZ::LC3	27	772	0.001	0.855	nonmonotonic	0.0044
GO:GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0076	0.12	flat	0.0059
GO:GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	TLS_VISIUM_USZ::LC3	27	772	0.0048	0.291	nonmonotonic	0.0025
GO:GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	TLS_VISIUM_USZ::LC3	27	772	0.01	0.052	nonmonotonic	0.0046
GO:GOBP_REGULATION_OF_HEMOPOIESIS	TLS_VISIUM_USZ::LC3	27	772	0.0054	0.242	nonmonotonic	0.005
GO:GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS	TLS_VISIUM_USZ::LC3	27	772	0.0023	0.617	nonmonotonic	0.0083
GO:GOBP_REGULATION_OF_VIRAL_PROCESS	TLS_VISIUM_USZ::LC3	27	772	0.0023	0.628	low-to-high	0.0062
