duplicate_group_id	member_type	member_id	relation_type	evidence_grade	resolution	leakage_group_id
EDGE::01eb846cef831de9	source_record	HEST::TENX185	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::38bb02c0a6abae8b
EDGE::01eb846cef831de9	source_record	TENX::Visium_HD_Human_Ovarian_Cancer_FF_Min_Depth	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::38bb02c0a6abae8b
EDGE::0363fb983ee863a3	source_record	HEST::TENX177	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::0363fb983ee863a3
EDGE::0363fb983ee863a3	source_record	TENX::Visium_HD_3prime_Human_Ovarian_Cancer	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::0363fb983ee863a3
EDGE::057f14dc98e743e9	source_record	HEST::TENX170	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::2c4f0f78f84f4a89
EDGE::057f14dc98e743e9	source_record	TENX::Visium_HD_Human_Lung_Cancer_HD_Only_Experiment2	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::2c4f0f78f84f4a89
EDGE::068fe637e63ec5ba	source_record	HEST::TENX170	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::2c4f0f78f84f4a89
EDGE::068fe637e63ec5ba	source_record	TENX::Visium_HD_Human_Lung_Cancer_post_Xenium_Prime_5K_Experiment2	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::2c4f0f78f84f4a89
EDGE::0afbf500d0baa4fc	source_record	HEST::TENX180	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::0afbf500d0baa4fc
EDGE::0afbf500d0baa4fc	source_record	TENX::Visium_HD_FF_Human_Breast_Cancer__4.0.1	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::0afbf500d0baa4fc
EDGE::0c7d70c4a26c8386	source_record	HEST::TENX95	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::0c7d70c4a26c8386
EDGE::0c7d70c4a26c8386	source_record	TENX::Xenium_V1_FFPE_Human_Breast_IDC	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::0c7d70c4a26c8386
EDGE::0d488fb993280ab4	source_record	HEST::TENX142	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::0d488fb993280ab4
EDGE::0d488fb993280ab4	source_record	TENX::Xenium_V1_Human_Ovarian_Cancer_Addon_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::0d488fb993280ab4
EDGE::14fafd84d169aaf3	source_record	HEST::TENX169	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::198be741a13be4ad
EDGE::14fafd84d169aaf3	source_record	TENX::Visium_HD_Human_Lung_Cancer_post_Xenium_v1_Experiment1	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::198be741a13be4ad
EDGE::18354e159985fd87	source_record	HEST::TENX118	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::18354e159985fd87
EDGE::18354e159985fd87	source_record	TENX::Xenium_V1_humanLung_Cancer_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::18354e159985fd87
EDGE::1bafd1c77326d2d0	source_record	HEST::TENX185	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::38bb02c0a6abae8b
EDGE::1bafd1c77326d2d0	source_record	TENX::Visium_HD_Human_Ovarian_Cancer_FF	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::38bb02c0a6abae8b
EDGE::21039114f22e0b43	source_record	HEST::TENX162	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::21039114f22e0b43
EDGE::21039114f22e0b43	source_record	TENX::Visium_HD_Human_Breast_Cancer_Fresh_Frozen	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::21039114f22e0b43
EDGE::237d5831549f5aff	source_record	HEST::TENX160	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::237d5831549f5aff
EDGE::237d5831549f5aff	source_record	TENX::Xenium_Prime_Human_Ovary_FF	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::237d5831549f5aff
EDGE::2595e6bf70d6e33d	source_record	HEST::TENX111	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::47457340f2b4350f
EDGE::2595e6bf70d6e33d	source_record	TENX::Xenium_V1_hColon_Cancer_Add_on_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::47457340f2b4350f
EDGE::25bec55ce60e6c82	source_record	HEST::TENX140	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::25bec55ce60e6c82
EDGE::25bec55ce60e6c82	source_record	TENX::Xenium_V1_Human_Ductal_Adenocarcinoma_FFPE	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::25bec55ce60e6c82
EDGE::2ce6ff94a9a82958	source_record	HEST::TENX99	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::340b2671bc0a2b32
EDGE::2ce6ff94a9a82958	source_record	TENX::Xenium_V1_FFPE_Human_Breast_IDC_Big_2	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::340b2671bc0a2b32
EDGE::2e9de3c0447bfd40	source_record	HEST::TENX179	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::2e9de3c0447bfd40
