request_candidate_id	priority_tier	source_namespace	logical_unit_id	provenance_group_id	provenance_aliases	provenance_group_size	known_current_eligible_unit	public_locator	reference_or_title	local_metadata_status	physical_records	patient_known_records	distinct_patient_ids	conflict_records	missing_required_fields	requested_artifact	independence_status	request_status
R01META::07d67abb161cb624	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::kirc::1713c35ce741	R01PROV::8d390563e59e90b3	GSE175540;PMID:35231421	2		GSE175540	PMID: 35231421	LOCAL_DIRECTORY_PRESENT	24	24	24	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	CROSS_AGGREGATOR_OVERLAP_UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::155f9f603913ed01	P1_PUBLIC_HIGH_COVERAGE	HEST	HEST_STUDY::7d3c5dc45fff3986	R01PROV::8d390563e59e90b3	PMID:35231421	2		https://pubmed.ncbi.nlm.nih.gov/35231421/	Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer	BUNDLED_HEST_METADATA_PRESENT	24	24	24	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	CROSS_AGGREGATOR_OVERLAP_UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::d3b6e8dde981ec1b	P1_PUBLIC_HIGH_COVERAGE	HEST	HEST_STUDY::85ef289e4d85fd28	R01PROV::03d66a11c999bdd4	DOI:10.1126/SCIENCE.AAF2403	1		https://www.science.org/doi/10.1126/science.aaf2403	Integrating spatial gene expression and breast tumour morphology via deep learning	BUNDLED_HEST_METADATA_PRESENT	68	68	23	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::e18c2d81adebde64	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::brca::f43bd8bcc2b2	R01PROV::b6317096c35d49b0	GSE242311;PMID:36674951	1		GSE242311	PMID: 36674951	LOCAL_DIRECTORY_PRESENT	16	16	16	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::098402b74c284ea7	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::gbm::5296a36d01a8	R01PROV::9637d2549f01da32	DOI:10.5061/DRYAD.H70RXWDMJ;PMID:35700707	1		https://datadryad.org/stash/dataset/doi:10.5061/dryad.h70rxwdmj	PMID: 35700707	LOCAL_DIRECTORY_PRESENT	16	16	16	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::1f42ebca674dd2ae	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::stad::698c46f02346	R01PROV::b4be80acc6dbde96	GSE246011	1		GSE246011	In-house	LOCAL_DIRECTORY_PRESENT	20	20	16	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::a5001cf077c969f4	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::paad::37a9a031b038	R01PROV::ba91bbf1091b92a1	GSE274557	1		GSE274557	In-house	LOCAL_DIRECTORY_PRESENT	13	13	13	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::9c762d7abd618df4	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::blca::5d94c2a09da1	R01PROV::c5b08e3d24027b6d	GSE319536	1		GSE319536	In-house	LOCAL_DIRECTORY_PRESENT	10	10	10	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::7d58ffbfdf623593	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::oscc::847eaaa6916f	R01PROV::db2d8ff735e60e1c	GSE208253;PMID:37596273	1		GSE208253	PMID: 37596273	LOCAL_DIRECTORY_PRESENT	12	12	10	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::4d24200765e9e6ce	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::stad::bd9a81cebbb8	R01PROV::52ff0d86dbec80dd	PRJCA027506	2		PRJCA027506	In-house	HOLD_OR_NOT_LOCAL	10	10	10	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	CROSS_AGGREGATOR_OVERLAP_UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::0796ec1e4aa145bd	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::brca::0d3358b91b69	R01PROV::4e092ff104147e70	EGAD00001008031;PMID:34650042	2		EGAD00001008031	PMID: 34650042	HOLD_OR_NOT_LOCAL	36	36	8	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	CROSS_AGGREGATOR_OVERLAP_UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::04c62ae73cc9cb66	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::ovca::1096a62ee6fb	R01PROV::2c129f993abf6d1f	GSE211956;PMID:38570491	1		GSE211956	PMID: 38570491	LOCAL_DIRECTORY_PRESENT	8	8	8	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::53cb3ca0d919153c	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::stad::5467cd860ae5	R01PROV::52ff0d86dbec80dd	PRJCA027506	2		PRJCA027506	In-house	HOLD_OR_NOT_LOCAL	8	8	8	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	CROSS_AGGREGATOR_OVERLAP_UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::fa77595d10b8675d	P1_PUBLIC_HIGH_COVERAGE	HEST	HEST_STUDY::50c9e446a2e4e056	R01PROV::4e092ff104147e70	PMID:34650042	2		https://pubmed.ncbi.nlm.nih.gov/34650042/	Spatial deconvolution of HER2-positive breast cancer delineates tumor-associated cell type interactions	BUNDLED_HEST_METADATA_PRESENT	36	36	8	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	CROSS_AGGREGATOR_OVERLAP_UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::a65d3f9a9b752305	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::lihc::c8b7b348f860	R01PROV::94ad3b42cea59ad8	PMID:34919432	1		https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000437	PMID: 34919432	HOLD_OR_NOT_LOCAL	21	21	7	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::ca4c27d906f5e1b3	P1_PUBLIC_HIGH_COVERAGE	HEST	HEST_STUDY::fce6a7204f438bee	R01PROV::c763a3acade859d1	DOI:10.1101/2023.01.23.525135V2	1		https://www.biorxiv.org/content/10.1101/2023.01.23.525135v2	Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets	BUNDLED_HEST_METADATA_PRESENT	14	14	7	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::497fac55ccc3027d	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::coad::57914a45a84f	R01PROV::c763ad6d11589bfe	GSE225857;PMID:37327339	1		GSE225857	PMID: 37327339	LOCAL_DIRECTORY_PRESENT	6	6	6	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::56ca7e033016c5ff	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::cscc::4d90f790e3d6	R01PROV::fd016fa7c2d1dee5	GSE144240;PMID:32579974	1		GSE144240	PMID: 32579974	LOCAL_DIRECTORY_PRESENT	16	16	6	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::6da0bbabf90e1c9e	P1_PUBLIC_HIGH_COVERAGE	HEST	HEST_STUDY::2a9a724c3b86d826	R01PROV::4677aec2d7ec00b8		1		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10356613/	Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST]	BUNDLED_HEST_METADATA_PRESENT	6	6	6	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::e67191ff62cdf36c	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::brca::cfdcb7f168c4	R01PROV::aa166e9d6d18d770		1		https://www.10xgenomics.com/datasets	10x	LOCAL_BUNDLE_PRESENT	6	6	5	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::f2f3e80eef21363e	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::paad::25fc49fa3903	R01PROV::e3d43b4d6393e053	GSE274103	1		GSE274103	In-house	LOCAL_DIRECTORY_PRESENT	5	5	5	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::11a91e48c9e4d4eb	P1_PUBLIC_HIGH_COVERAGE	HEST	HEST_STUDY::70d6a0bd74a6675c	R01PROV::80d9da3a120c83a4		1		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7391009/	Human squamous cell carcinoma | Single Cell and Spatial Analysis of Human Squamous Cell Carcinoma [ST]	BUNDLED_HEST_METADATA_PRESENT	16	16	5	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
R01META::009d7d6d946e7fec	P1_PUBLIC_HIGH_COVERAGE	ATLAS_TABLE_S2	atlas_s2::blca::412232635816	R01PROV::4b60cc1a8d3b8abc	GSE171351;PMID:34385456	1		GSE171351	PMID: 34385456	LOCAL_DIRECTORY_PRESENT	4	4	4	0	block_id;sample_to_block_crosswalk	official sample sheet or provenance-preserving patient-block-sample crosswalk	UNRESOLVED_DO_NOT_COUNT	PROPOSED_REQUIRES_APPROVAL
