source_id	kind	path_pattern	member_count	row_count	bytes_total	fields	identity_fields	section_fields	gt_risk_fields	sha256	status	notes
access_control_manifest	table	data/access_control_needed/access_control_datasets.tsv	1	8	2190	access_type;accession;application_url;description;notes;repository	accession			e5800ad1c753bd88840c1a06e4d4c74cb26bdc0ad45bbc41691beebc81a2a2e7	PRESENT	HOLD; access inventory only, not a local analysis cohort
atlas_non_geo_manifest	table	data/other_sources/sources_manifest.tsv	1	16	6809	dataset_id;description;downloaded;notes;source;url	dataset_id;source			cefddc8bccf85e228f96be145e1cfc5baa5b0925cbf76715928de7121d42300e	PRESENT	Cross-source mappings and paper-sample notes; requires duplicate audit
atlas_supplement_tables	metadata_workbook	paper/tables/science.adz2742_tables_s1_to_s8.xlsx	1	1	165696					16f6f742f2285c539a81a1147a49042cd1c92678bc45d3c35bf642942151fd95	PRESENT	Bundled paper tables; field extraction is a later explicit step
geo_filelists	text_collection	data/GEO/*/filelist.txt	18	1339	104014					f03ea9787c388336c1737aa41f714a1dd6b25a4cd99e235868b8638313e06b0e	PRESENT	Asset listings only; filenames are weak identity evidence
hest_metadata_json	json_collection	data/other_sources/hest1k/metadata/*.json	492	492	625930	Analyzed Reads;Estimated UMIs from Genomic DNA;Estimated UMIs from Genomic DNA per Unspliced Probe;Fraction Reads in Spots Under Tissue;Fraction Reads in Squares Under Tissue;Fraction of Bins Under Tissue 16 µm;Fraction of Bins Under Tissue 8 µm;Fraction of Spots Under Tissue;Fraction of Squares Under Tissue 2 µm;Fraction of Targeted Genes Enriched;Genes Detected;High Fraction of Non-Targeted Genes Enriched;Mean Genes Under Tissue per Bin 16 µm;Mean Genes Under Tissue per Bin 8 µm;Mean Genes Under Tissue per Square 2 µm;Mean Reads Under Tissue per Bin 16 µm;Mean Reads Under Tissue per Bin 8 µm;Mean Reads Under Tissue per Spot;Mean Reads Under Tissue per Square 2 µm;Mean Reads per Spot;Mean Reads per UMI per Non-Targeted Gene;Mean Reads per UMI per Targeted Gene;Mean Targeted Reads per Spot;Mean UMIs Under Tissue per Bin 16 µm;Mean UMIs Under Tissue per Bin 8 µm;Mean UMIs Under Tissue per Square 2 µm;Median Genes per Spot;Median Panel Genes per Spot;Median Panel UMI Counts per Spot;Median Targeted Genes per Spot;Median Targeted UMI Counts per Spot;Median UMI Counts per Spot;Number of Bins Under Tissue 16 µm;Number of Bins Under Tissue 8 µm;Number of Enriched Non-Targeted Genes;Number of Enriched Targeted Genes;Number of Genes;Number of Genes >= 10 UMIs;Number of Non-Targeted Genes;Number of Non-Targeted Genes >= 10 UMIs;Number of Panel Genes;Number of Panel Genes >= 10 UMIs;Number of Reads;Number of Spots Under Tissue;Number of Squares Under Tissue 2 µm;Number of Targeted Genes;Number of Targeted Genes >= 10 UMIs;Q30 Bases in Barcode;Q30 Bases in Probe Read;Q30 Bases in RNA Read;Q30 Bases in UMI;Reads Half-Mapped to Probe Set;Reads Mapped Antisense to Gene;Reads Mapped Confidently to Exonic Regions;Reads Mapped Confidently to Genome;Reads Mapped Confidently to Intergenic Regions;Reads Mapped Confidently to Intronic Regions;Reads Mapped Confidently to Probe Set;Reads Mapped Confidently to Transcriptome;Reads Mapped Confidently to the Filtered Probe Set;Reads Mapped Confidently to the Non-targeted Transcriptome;Reads Mapped Confidently to the Targeted Transcriptome;Reads Mapped to Genome;Reads Mapped to Probe Set;Reads Split-Mapped to Probe Set;Sample ID;Sequencing Saturation;Targeted Sequencing Saturation;Total Genes Detected;Total Genes Detected Under Tissue 16 µm;Total Genes Detected Under Tissue 2 µm;Total Genes Detected Under Tissue 8 µm;Total Targeted Genes Detected;Valid Barcodes;Valid UMIs;adata_nb_col;analysis_sw_version;analysis_uuid;calibration_uuid;cassette_name;cassette_uuid;cells_under_tissue;data_publication_date;dataset_title;disease_comment;disease_state;download_page_link1;experiment_uuid;fullres_height;fullres_px_height;fullres_px_width;fullres_width;id;image_filename;images;instrument_sn;instrument_sw_version;inter_spot_dist;license;magnification;major_version;minor_version;nb_genes;num_cells;oncotree_code;organ;panel_design_id;panel_name;panel_num_targets_custom;panel_num_targets_predesigned;panel_organism;panel_predesigned_id;panel_tissue_type;patch_version;patient;pixel_size;pixel_size_um_embedded;pixel_size_um_estimated;preservation_method;region_name;roi_uuid;run_name;run_start_time;segmentation_stain;slide_id;species;spot_diameter;spot_estimate_dist;spots_under_tissue;st_technology;study_link;subseries;tissue;transcripts_per_100um;transcripts_per_cell;treatment_comment;well_uuid;xenium_explorer_files;xenium_ranger;z_step_size	id;panel_design_id;panel_predesigned_id;patient;slide_id;study_link	z_step_size	region_name;segmentation_stain	0eae6fdeddbd11c90491b63fae83ff47b0640301a532add3f17ff13ef555652d	PRESENT	Bundled per-sample HEST metadata; aggregated source may duplicate GEO/10x
hest_selected_samples	table	data/other_sources/hest1k/selected_samples.tsv	1	492	22181	disease_state;id;oncotree_code;organ;preservation_method;st_technology	id			58b7f582de2761d424485f95bd9dbfa4e8ecdab431392d88e63648ced04f91ee	PRESENT	Selection manifest; not sufficient by itself for patient/block identity
spatialdb_manifest	table	data/other_sources/spatialdb/manifest.tsv	1	4	678	cancer_type;dataset_id;file;pmid;size_bytes;source;url	dataset_id;source			3983c5e5e10f887acbfed40dd39ab84f6af790c990ae01284e7d4065b504beee	PRESENT	Dataset/asset-level manifest
stomicsdb_manifest	table	data/other_sources/stomicsdb/manifest.tsv	1	78	10113	dataset_id;disease;n_files;size_bytes;species;title	dataset_id			0c9f4e1346522be4c80f847f33981183ae6773d8390f6da4662abd9acf1f95ec	PRESENT	Dataset-level manifest; includes non-human/non-tumor rows that require filtering
supplementary_resource_manifest	table	data/other_sources/supplementary_tumor_ST_resources.tsv	1	7	2959	access(open/controlled);accession/url;cancer_types;notes;platform(Visium/Xenium/Stereo-seq等);resource				ace5ea54f8a469fe3d9f3d01bf6b40710d36428d1a15fa926d07ea6cca1b9672	PRESENT	Resource discovery inventory; not physical-sample metadata
tenx_recent_manifest	table	data/other_sources/10x_genomics/manifest_3yr.tsv	1	73	50101	cancer_type;dataset_dir;download_urls;page_url;pipeline_version;platform;preservation;product;size_bytes;species;status;title;year				731bc6c9a5106d9d9a429e4ec55c9f2af85c49e028c315d8b3a008944643440f	PRESENT	Dataset-level 10x inventory; dataset title may encode weak section relationships
