logical_unit_id	cancer	platforms	preservation	sample_count	patient_value_count	composite_patient_value_count	potential_tls_positive_count	potential_tls_instance_count	references	data_availability	local_data_status	identity_status	gt_acceptance_status	role_freeze_status	notes
atlas_s2::blca::412232635816	BLCA	Visium	Fresh Frozen	4	4	0	0	0	PMID: 34385456	GSE171351	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::blca::5d94c2a09da1	BLCA	Visium	FFPE	10	10	0	8	16	In-house	GSE319536	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::brca::0d3358b91b69	BRCA	ST	Fresh Frozen	36	8	0	25	80	PMID: 34650042	EGAD00001008031	HOLD_OR_NOT_LOCAL	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::brca::9c4d62a70cd3	BRCA	Visium	Fresh Frozen	3	3	0	1	11	PMID: 35931863	GSE203612	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::brca::cfdcb7f168c4	BRCA	Visium	FFPE|Fresh Frozen	6	5	0	4	12	10x	https://www.10xgenomics.com/datasets	LOCAL_BUNDLE_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::brca::f43bd8bcc2b2	BRCA	Visium	FFPE	16	16	0	7	25	PMID: 36674951	GSE242311	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::coad::366b8f14f344	COAD	Visium	FFPE|Fresh Frozen	2	2	0	2	2	10x	https://www.10xgenomics.com/datasets	LOCAL_BUNDLE_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::coad::57914a45a84f	COAD	Visium	FFPE	6	6	0	4	8	PMID: 37327339	GSE225857	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::coad::87c0a055d20d	COAD	Visium	FFPE	4	4	0	2	4	-	GSE226997	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::coad::924c9618a153	COAD	Visium	FFPE	36	22	0	12	44	PMID: 38065082	https://data.humantumoratlas.org/publications/vanderbilt_crc_chen_2021?tab=10x-visium#	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::coad::a8c5b3eea08b	COAD	Visium	FFPE	4	4	0	2	4	PMID: 34417225	https://www.biosino.org/node/project/detail/OEP001756	HOLD_OR_NOT_LOCAL	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::coad::ccb553bab806	COAD	Visium	NA	2	2	0	2	3	PMID: 35365629	https://ngdc.cncb.ac.cn/gsa-human/request/HRA000979	HOLD_OR_NOT_LOCAL	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::cscc::4d90f790e3d6	CSCC	ST|Visium	FFPE|Fresh Frozen	16	6	0	7	15	PMID: 32579974	GSE144240	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::gbm::12efcbacdaae	GBM	Visium	FFPE	20	18	2	0	0	PMID: 37460871	GSE235672	LOCAL_DIRECTORY_PRESENT	PATIENT_CONFLICT_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::gbm::5296a36d01a8	GBM	Visium	Fresh Frozen	16	16	0	0	0	PMID: 35700707	https://datadryad.org/stash/dataset/doi:10.5061/dryad.h70rxwdmj	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::kirc::1713c35ce741	KIRC	Visium	FFPE|Fresh Frozen	24	24	0	15	30	PMID: 35231421	GSE175540	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::kirc::f8da3f2751d7	KIRC	Visium	FFPE	2	2	0	2	10	PMID: 37335139	GSE210041	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::lihc::311520ad8153	LIHC	Visium	NA	4	4	0	2	4	PMID: 34417225	https://ngdc.cncb.ac.cn/gsa-human/request/HRA000979	HOLD_OR_NOT_LOCAL	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::lihc::c8b7b348f860	LIHC	Visium	Fresh Frozen	21	7	0	13	85	PMID: 34919432	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000437	HOLD_OR_NOT_LOCAL	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::luad::36411acf705f	LUAD	Visium	FFPE	2	2	0	1	1	10x	https://www.10xgenomics.com/datasets	LOCAL_BUNDLE_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::luad::486f932752d0	LUAD	Visium	FFPE|Fresh Frozen	5	2	0	4	28	PMID: 36098652	EGAS00001005021	HOLD_OR_NOT_LOCAL	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::luad::76470063af9e	LUAD	Visium	FFPE	3	3	0	3	55	In-house	GSE307534	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::oscc::847eaaa6916f	OSCC	Visium	Fresh Frozen	12	10	0	1	1	PMID: 37596273	GSE208253	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::ovca::1096a62ee6fb	OVCA	Visium	Fresh Frozen	8	8	0	0	0	PMID: 38570491	GSE211956	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::ovca::1fb05a50a277	OVCA	Visium	FFPE	8	1	0	1	24	PMID: 36249907	GSE213699	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::ovca::2fefa22ca3e9	OVCA	Visium	Fresh Frozen	2	2	0	0	0	PMID: 35931863	GSE203612	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::ovca::9aec1e08324f	OVCA	Visium	FFPE	2	2	0	0	0	10x	https://www.10xgenomics.com/datasets	LOCAL_BUNDLE_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::paad::25fc49fa3903	PAAD	Visium	FFPE	5	5	0	2	8	In-house	GSE274103	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::paad::37a9a031b038	PAAD	Visium	Fresh Frozen	13	13	0	1	1	In-house	GSE274557	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::paad::4036fd69d79e	PAAD	ST	Fresh Frozen	4	4	0	0	0	PMID: 31932730	GSE111672	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::paad::5aaaec392e4b	PAAD	Visium	FFPE	4	4	0	1	7	PMID: 37524695	GSE202740	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::stad::46a841f5ce0a	STAD	Visium	Fresh Frozen	2	2	0	0	0	PMID: 35931863	GSE203612	LOCAL_DIRECTORY_PRESENT	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
atlas_s2::stad::5467cd860ae5	STAD	Visium	FFPE	8	8	0	5	13	In-house	PRJCA027506	HOLD_OR_NOT_LOCAL	PATIENT_ONLY_BLOCK_UNKNOWN	NOT_ACCEPTED_R01	UNFROZEN_BLOCK_UNKNOWN	TLS fields are recorded for provenance only and were not used to accept GT or freeze a role.
