evidence_id	entity_type	entity_id	field	source_asset	metadata_path	metadata_key	raw_value	normalized_value	evidence_grade	interpretation	conflict_flag
external_geo::GSM8443449::patient	physical_unit	external_geo::GSM8443449	patient_id	external_geo::GSE274103::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274103_gsm_quick.soft	!Sample_title	PDAC-p1	GSE274103::P1	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8443449::physical_specimen	physical_unit	external_geo::GSM8443449	physical_specimen_id	external_geo::GSE274103::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274103_gsm_quick.soft	!Sample_relation BioSample	SAMN43059225	SAMN43059225	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8443449::block_unknown	physical_unit	external_geo::GSM8443449	block_id	external_geo::GSE274103::series_soft	infra/bioinf-data-index/raw/geo/GSE274103_series_quick.soft	!Series_summary + !Series_overall_design	series: FFPE samples from five patient tissues; GSM title: patient; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8443450::patient	physical_unit	external_geo::GSM8443450	patient_id	external_geo::GSE274103::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274103_gsm_quick.soft	!Sample_title	PDAC-p2	GSE274103::P2	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8443450::physical_specimen	physical_unit	external_geo::GSM8443450	physical_specimen_id	external_geo::GSE274103::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274103_gsm_quick.soft	!Sample_relation BioSample	SAMN43059224	SAMN43059224	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8443450::block_unknown	physical_unit	external_geo::GSM8443450	block_id	external_geo::GSE274103::series_soft	infra/bioinf-data-index/raw/geo/GSE274103_series_quick.soft	!Series_summary + !Series_overall_design	series: FFPE samples from five patient tissues; GSM title: patient; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8443451::patient	physical_unit	external_geo::GSM8443451	patient_id	external_geo::GSE274103::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274103_gsm_quick.soft	!Sample_title	PDAC-p3	GSE274103::P3	E2_corroborated	official metadata patient-to-GSM mapping	false
external_geo::GSM8443451::physical_specimen	physical_unit	external_geo::GSM8443451	physical_specimen_id	external_geo::GSE274103::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274103_gsm_quick.soft	!Sample_relation BioSample	SAMN43059223	SAMN43059223	E2_corroborated	official GEO BioSample identifies physical specimen	false
external_geo::GSM8443451::block_unknown	physical_unit	external_geo::GSM8443451	block_id	external_geo::GSE274103::series_soft	infra/bioinf-data-index/raw/geo/GSE274103_series_quick.soft	!Series_summary + !Series_overall_design	series: FFPE samples from five patient tissues; GSM title: patient; GEO relation: BioSample		E2_corroborated	physical specimen is a candidate block-equivalent; no block identifier is asserted	false
external_geo::GSM8443452::patient	physical_unit	external_geo::GSM8443452	patient_id	external_geo::GSE274103::gsm_soft	infra/bioinf-data-index/raw/geo/GSE274103_gsm_quick.soft	!Sample_title	PDAC-p4	GSE274103::P4	E2_corroborated	official metadata patient-to-GSM mapping	false
