field	nonempty_count	total_records	coverage_fraction
raw_data_publication_date	453	492	0.920732
raw_dataset_title	492	492	1.000000
raw_disease_comment	281	492	0.571138
raw_disease_state	492	492	1.000000
raw_download_page_link1	491	492	0.997967
raw_id	492	492	1.000000
raw_license	441	492	0.896341
raw_oncotree_code	300	492	0.609756
raw_organ	492	492	1.000000
raw_patient	244	492	0.495935
raw_platform	0	492	0.000000
raw_preservation_method	380	492	0.772358
raw_region_name	29	492	0.058943
raw_sample_id	67	492	0.136179
raw_selected_disease_state	492	492	1.000000
raw_selected_id	492	492	1.000000
raw_selected_oncotree_code	300	492	0.609756
raw_selected_organ	492	492	1.000000
raw_selected_preservation_method	380	492	0.772358
raw_selected_st_technology	492	492	1.000000
raw_slide_id	29	492	0.058943
raw_species	492	492	1.000000
raw_st_technology	492	492	1.000000
raw_study_link	407	492	0.827236
raw_subseries	443	492	0.900407
raw_tissue	492	492	1.000000
raw_treatment_comment	1	492	0.002033
raw_z_step_size	29	492	0.058943
