candidate_group_id	left_record_id	right_record_id	relation_type	evidence_grade	resolution	leakage_group_id	canonical_source_url	left_raw_patient	left_raw_subseries	notes
URL::00c307a2fa773aa4	HEST::TENX160	TENX::Xenium_Prime_Human_Ovary_FF	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::237d5831549f5aff	10xgenomics.com/datasets/xenium-prime-fresh-frozen-human-ovary			Exact bundled source-page match; physical sample identity still requires sample-level metadata
URL::02095b79bbf538e2	HEST::TENX163	TENX::Visium_HD_Human_Lung_Cancer_Fixed_Frozen	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::d45eb89f5a08cf0a	10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-fixed-frozen			Exact bundled source-page match; physical sample identity still requires sample-level metadata
URL::030a7f38438bf897	HEST::TENX184	TENX::Visium_HD_Human_Ovarian_Cancer_FF	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::38bb02c0a6abae8b	10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-ovarian-cancer-discovery-fresh-frozen		Deep sequencing	Exact bundled source-page match; physical sample identity still requires sample-level metadata
URL::030a7f38438bf897	HEST::TENX184	TENX::Visium_HD_Human_Ovarian_Cancer_FF_Min_Depth	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::38bb02c0a6abae8b	10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-ovarian-cancer-discovery-fresh-frozen		Deep sequencing	Exact bundled source-page match; physical sample identity still requires sample-level metadata
URL::030a7f38438bf897	HEST::TENX185	TENX::Visium_HD_Human_Ovarian_Cancer_FF	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::38bb02c0a6abae8b	10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-ovarian-cancer-discovery-fresh-frozen		Minimum Sequencing Depth	Exact bundled source-page match; physical sample identity still requires sample-level metadata
URL::030a7f38438bf897	HEST::TENX185	TENX::Visium_HD_Human_Ovarian_Cancer_FF_Min_Depth	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::38bb02c0a6abae8b	10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-ovarian-cancer-discovery-fresh-frozen		Minimum Sequencing Depth	Exact bundled source-page match; physical sample identity still requires sample-level metadata
URL::0653e3ff71bc5cd7	HEST::TENX168	TENX::Visium_HD_Human_Lung_Cancer_HD_Only_Experiment1	same_source_dataset_lineage	E2_corroborated	CONFIRMED_SOURCE_DATASET	LEAKAGE::198be741a13be4ad	10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-post-xenium-expt		Experiment 1, HD only (control)	Exact bundled source-page match; physical sample identity still requires sample-level metadata
URL::0653e3ff71bc5cd7	HEST::TENX168	TENX::Visium_HD_Human_Lung_Cancer_HD_Only_Experiment2	same_source_page_only	E0_unknown	NO_EVIDENCE		10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-post-xenium-expt		Experiment 1, HD only (control)	Exact bundled source-page match; physical sample identity still requires sample-level metadata
URL::0653e3ff71bc5cd7	HEST::TENX168	TENX::Visium_HD_Human_Lung_Cancer_post_Xenium_Prime_5K_Experiment2	same_source_page_only	E0_unknown	NO_EVIDENCE		10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-post-xenium-expt		Experiment 1, HD only (control)	Exact bundled source-page match; physical sample identity still requires sample-level metadata
URL::0653e3ff71bc5cd7	HEST::TENX168	TENX::Visium_HD_Human_Lung_Cancer_post_Xenium_v1_Experiment1	possible_physical_relation	E2_corroborated	POSSIBLE_PHYSICAL_RELATION	LEAKAGE::198be741a13be4ad	10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-human-lung-cancer-post-xenium-expt		Experiment 1, HD only (control)	Exact bundled source-page match; physical sample identity still requires sample-level metadata
