physical_unit_id	path	spot_count	index_fingerprint_sha256	fingerprint_status
HTAN::6723_KL_1_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/6723_KL_1_filtered_trimmed.h5ad	3901	145ec21c80d0a016cfd7cb640c9face7fbe689a4329276a113d776e47fdd16b0	INDEX_VALUE_PINNED
HTAN::6723_KL_2_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/6723_KL_2_filtered_trimmed.h5ad	4369	17540aa700b0ef31f767ff1dc7ef1d3beb55fa4f076bba9f9cadfe5a647491a2	INDEX_VALUE_PINNED
HTAN::6723_KL_3_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/6723_KL_3_filtered_trimmed.h5ad	2997	0ad23d5e0e9c64dc14abf454b21f01e0539a0434879de25933e3c0e78f80afbc	INDEX_VALUE_PINNED
HTAN::6723_KL_4_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/6723_KL_4_filtered_trimmed.h5ad	3934	cea5f9493d39a84e618c8619faab46493d27c60a6aa455153fb4dcbb74b847cf	INDEX_VALUE_PINNED
HTAN::7003_AS_1_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7003_AS_1_filtered_trimmed.h5ad	3461	6b4e1c8e9187dd9fafffb1a2a700a7d4571b63c66c75cd4d35e4f2a333e5d224	INDEX_VALUE_PINNED
HTAN::7003_AS_2_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7003_AS_2_filtered_trimmed.h5ad	2693	f10c46a8a688c5fbdee631cbbc2864138d15268830842f245b28c31135851a20	INDEX_VALUE_PINNED
HTAN::7003_AS_3_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7003_AS_3_filtered_trimmed.h5ad	2551	08ae8870e9828f6d54b69fd5b3967525b1cee9f2cde95cb82e4accf42c0bd14e	INDEX_VALUE_PINNED
HTAN::7003_AS_4_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7003_AS_4_filtered_trimmed.h5ad	3970	d5d1f482e5f0365f14a53a372b7aa779bcde7962b74d32e069466d68156573b8	INDEX_VALUE_PINNED
HTAN::7003_AS_5_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7003_AS_5_filtered_trimmed.h5ad	3261	3a2fc0ead4de4240074893cdaf3c3f63e9d392bd426efc80cc4c7cc3f664df1e	INDEX_VALUE_PINNED
HTAN::7003_AS_6_filtered_trimmed.h5ad	data/other_sources/htan/HTAN_Vanderbilt_CRC_Visium_OSF_hftq2/7003_AS_6_filtered_trimmed.h5ad	2533	58b39211ef49596747f60c49c2d75030ac66e8e2d0d5f3a08b90add399b70786	INDEX_VALUE_PINNED
