physical_unit_id	logical_unit_id	patient_id	block_id	physical_specimen_id	identity_granularity	identity_envelope_id	block_group_id	leakage_group_id	primary_role	outer_fold	block_level_eligible	split_status
HTAN::6723_KL_1_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN_VANDERBILT_CRC::BLOCK::c92024d67e7094bc		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	block::HTAN_VANDERBILT_CRC::BLOCK::c92024d67e7094bc	LINEAGE::HTAN_VANDERBILT_CRC	training	training::293e59058f7e	yes	FROZEN_R02
HTAN::6723_KL_2_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN_VANDERBILT_CRC::BLOCK::c92024d67e7094bc		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	block::HTAN_VANDERBILT_CRC::BLOCK::c92024d67e7094bc	LINEAGE::HTAN_VANDERBILT_CRC	training	training::293e59058f7e	yes	FROZEN_R02
HTAN::6723_KL_3_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN_VANDERBILT_CRC::BLOCK::c92024d67e7094bc		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	block::HTAN_VANDERBILT_CRC::BLOCK::c92024d67e7094bc	LINEAGE::HTAN_VANDERBILT_CRC	training	training::293e59058f7e	yes	FROZEN_R02
HTAN::6723_KL_4_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	HTAN_VANDERBILT_CRC::BLOCK::a84ce559e0584928		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::4aa571d63ab1aa20	block::HTAN_VANDERBILT_CRC::BLOCK::a84ce559e0584928	LINEAGE::HTAN_VANDERBILT_CRC	training	training::293e59058f7e	yes	FROZEN_R02
HTAN::7003_AS_1_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	HTAN_VANDERBILT_CRC::BLOCK::af4b3a9c9bb14278		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	block::HTAN_VANDERBILT_CRC::BLOCK::af4b3a9c9bb14278	LINEAGE::HTAN_VANDERBILT_CRC	training	training::ac062dd780d7	yes	FROZEN_R02
HTAN::7003_AS_2_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	HTAN_VANDERBILT_CRC::BLOCK::af4b3a9c9bb14278		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::0def2e0b01043545	block::HTAN_VANDERBILT_CRC::BLOCK::af4b3a9c9bb14278	LINEAGE::HTAN_VANDERBILT_CRC	training	training::ac062dd780d7	yes	FROZEN_R02
HTAN::7003_AS_3_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN_VANDERBILT_CRC::BLOCK::32a452c0ae678140		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	block::HTAN_VANDERBILT_CRC::BLOCK::32a452c0ae678140	LINEAGE::HTAN_VANDERBILT_CRC	training	training::f12790e2b038	yes	FROZEN_R02
HTAN::7003_AS_4_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	HTAN_VANDERBILT_CRC::BLOCK::32a452c0ae678140		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::7032fa6644896b13	block::HTAN_VANDERBILT_CRC::BLOCK::32a452c0ae678140	LINEAGE::HTAN_VANDERBILT_CRC	training	training::f12790e2b038	yes	FROZEN_R02
HTAN::7003_AS_5_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN_VANDERBILT_CRC::BLOCK::5d8692c0b033416e		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	block::HTAN_VANDERBILT_CRC::BLOCK::5d8692c0b033416e	LINEAGE::HTAN_VANDERBILT_CRC	training	training::e45380892b7e	yes	FROZEN_R02
HTAN::7003_AS_6_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	HTAN_VANDERBILT_CRC::BLOCK::5d8692c0b033416e		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::0bd3490036cbd4de	block::HTAN_VANDERBILT_CRC::BLOCK::5d8692c0b033416e	LINEAGE::HTAN_VANDERBILT_CRC	training	training::e45380892b7e	yes	FROZEN_R02
HTAN::7003_AS_8_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	HTAN_VANDERBILT_CRC::BLOCK::8e43058fbef34f6e		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::e52fa79982a9ecea	block::HTAN_VANDERBILT_CRC::BLOCK::8e43058fbef34f6e	LINEAGE::HTAN_VANDERBILT_CRC	training	training::9aa6894c87e5	yes	FROZEN_R02
HTAN::7319_AS_2_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	HTAN_VANDERBILT_CRC::BLOCK::9ef322c74b6af968		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::42db69b0c0fe9511	block::HTAN_VANDERBILT_CRC::BLOCK::9ef322c74b6af968	LINEAGE::HTAN_VANDERBILT_CRC	training	training::9848b30194aa	yes	FROZEN_R02
HTAN::7319_AS_3_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	HTAN_VANDERBILT_CRC::BLOCK::7bf1b82385881727		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::6aea40a35e6c4335	block::HTAN_VANDERBILT_CRC::BLOCK::7bf1b82385881727	LINEAGE::HTAN_VANDERBILT_CRC	training	training::f51884e7a818	yes	FROZEN_R02
HTAN::7319_AS_4_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	HTAN_VANDERBILT_CRC::BLOCK::c0c24611b234be9a		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::c0b1b19d533645cb	block::HTAN_VANDERBILT_CRC::BLOCK::c0c24611b234be9a	LINEAGE::HTAN_VANDERBILT_CRC	training	training::25ceabcf8e82	yes	FROZEN_R02
HTAN::7794_AS_1_filtered_trimmed_WD33476.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	HTAN_VANDERBILT_CRC::BLOCK::0f9098457bbf2b3e		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::94567531ae08aa59	block::HTAN_VANDERBILT_CRC::BLOCK::0f9098457bbf2b3e	LINEAGE::HTAN_VANDERBILT_CRC	training	training::f4202db577db	yes	FROZEN_R02
HTAN::7794_AS_1_filtered_trimmed_WD33479.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	HTAN_VANDERBILT_CRC::BLOCK::596b3a82b1f78d7c		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::9af051af377d9c81	block::HTAN_VANDERBILT_CRC::BLOCK::596b3a82b1f78d7c	LINEAGE::HTAN_VANDERBILT_CRC	training	training::bc073b293d95	yes	FROZEN_R02
HTAN::7794_AS_2_filtered_trimmed_WD33468.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	HTAN_VANDERBILT_CRC::BLOCK::c364d86a00f53bc0		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::bbd41350b0c0bd3c	block::HTAN_VANDERBILT_CRC::BLOCK::c364d86a00f53bc0	LINEAGE::HTAN_VANDERBILT_CRC	training	training::b5d2f48e8c76	yes	FROZEN_R02
HTAN::7794_AS_2_filtered_trimmed_WD33475.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	HTAN_VANDERBILT_CRC::BLOCK::43dd815b592dfeff		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::5a3d3a5b1d783fe6	block::HTAN_VANDERBILT_CRC::BLOCK::43dd815b592dfeff	LINEAGE::HTAN_VANDERBILT_CRC	training	training::c63fff11a13a	yes	FROZEN_R02
HTAN::7794_AS_3_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	HTAN_VANDERBILT_CRC::BLOCK::c4a27621ce00a66e		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::306c7a068bf4965f	block::HTAN_VANDERBILT_CRC::BLOCK::c4a27621ce00a66e	LINEAGE::HTAN_VANDERBILT_CRC	training	training::2216f913f42c	yes	FROZEN_R02
HTAN::8270_AS_10_filtered_trimmed.h5ad	HTAN_VANDERBILT_CRC	HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	HTAN_VANDERBILT_CRC::BLOCK::f98b9c45e22b0189		explicit_patient_block	patient_envelope::HTAN_VANDERBILT_CRC::HTAN_VANDERBILT_CRC::PATIENT::15c4be5f5e924870	block::HTAN_VANDERBILT_CRC::BLOCK::f98b9c45e22b0189	LINEAGE::HTAN_VANDERBILT_CRC	training	training::51390c8a3069	yes	FROZEN_R02
