instance_id	structure_id	logical_unit_id	physical_unit_id	patient_id	block_id	physical_specimen_id	gt_source_id	gt_definition_modality	gt_geometry_locator	boundary_uncertainty	confirmation_status	allowed_use	forbidden_use
TLS_SOURCE::GEO::GSE175540::R1_1	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R10_2	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R10_4	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R12_32	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R14_28	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R14_29	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R15_10	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R15_32	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R15_33	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
TLS_SOURCE::GEO::GSE175540::R15_35	TLS	GEO::GSE175540					ATLAS_TABLE_S4_TLS_IDS	reported count summary		UNKNOWN	NONCONFIRMATORY_SOURCE_REPORTED_ID	inventory and GT acquisition planning only	training, validation, localization, distance fields, or claims
